REGION,DIVISION,STATE,NAME,RACE,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2009,POPESTIMATE2010
3,6,28,Mississippi,4,19240,19712,20443,21240,22205,23242,23300,24322,25196,26063,26578
3,6,28,Mississippi,5,759,861,974,1056,1158,1219,1343,1429,1507,1689,1701
3,6,28,Mississippi,6,15934,17331,18704,20049,21540,23052,24219,25835,27416,28742,30127
2,4,29,Missouri,0,5607285,5641142,5674825,5709403,5747741,5790300,5842704,5887612,5923916,5961088,5996231
2,4,29,Missouri,1,4811076,4829908,4848677,4868796,4891042,4917028,4951012,4980125,5001808,5023152,5042425
2,4,29,Missouri,2,637132,643919,650232,656313,663205,669907,678128,684018,689311,695364,702033
2,4,29,Missouri,3,25897,26402,26783,27219,27818,28216,28695,29155,29675,30081,30689
2,4,29,Missouri,4,63910,67331,71028,74689,78638,82736,87067,90822,94108,97477,100746
2,4,29,Missouri,5,3409,3693,4112,4346,4689,5116,5567,5958,6414,6636,7198
2,4,29,Missouri,6,65861,69889,73993,78040,82349,87297,92235,97534,102600,108378,113140
4,8,30,Montana,0,903773,906961,911667,919630,930009,940102,952692,964706,976415,983982,990898
4,8,30,Montana,1,825459,826639,829714,835759,844155,852189,862738,872545,882291,887526,892610
4,8,30,Montana,2,2797,3154,3372,3619,3863,3899,4107,4192,4282,4354,4205
4,8,30,Montana,3,56528,57048,57582,58241,58900,59782,60364,61181,61852,62711,63604
4,8,30,Montana,4,4883,5119,5225,5339,5561,5685,5857,6034,6205,6429,6383
4,8,30,Montana,5,488,538,564,585,642,641,695,731,732,787,721
4,8,30,Montana,6,13618,14463,15210,16087,16888,17906,18931,20023,21053,22175,23375
2,4,31,Nebraska,0,1713820,1719836,1728292,1738643,1749370,1761497,1772693,1783440,1796378,1812683,1830429
2,4,31,Nebraska,1,1587253,1588686,1592778,1598208,1604000,1611295,1616934,1622610,1629008,1639946,1652413
2,4,31,Nebraska,2,70299,71746,72870,74415,75843,77334,79189,80643,82903,84684,86242
2,4,31,Nebraska,3,15767,16485,17053,17723,18474,19280,20319,21165,22480,22862,23451
2,4,31,Nebraska,4,22816,23748,25028,26259,27369,28294,29115,30100,31152,32247,33486
2,4,31,Nebraska,5,1012,1128,1241,1284,1380,1511,1645,1723,1881,2025,2057
2,4,31,Nebraska,6,16673,18043,19322,20754,22304,23783,25491,27199,28954,30919,32780
4,8,32,Nevada,0,2018741,2098399,2173791,2248850,2346222,2432143,2522658,2601072,2653630,2684665,2704642
4,8,32,Nevada,1,1697938,1751909,1801308,1850553,1915799,1968095,2022570,2067437,2092646,2104015,2108641
4,8,32,Nevada,2,141698,150616,159264,167550,178908,190486,203042,213754,222366,228060,231613
4,8,32,Nevada,3,28597,30026,31282,32660,34325,35926,37794,39855,41322,42338,43095
4,8,32,Nevada,4,95554,105307,115869,126276,138751,152235,166609,180039,190639,197944,204483
4,8,32,Nevada,5,9353,10317,11317,12244,13299,14399,15687,16858,18077,18775,19380
4,8,32,Nevada,6,45601,50224,54751,59567,65140,71002,76956,83129,88580,93533,97430
1,1,33,New Hampshire,0,1239882,1255517,1269089,1279840,1290121,1298492,1308389,1312540,1315906,1316102,1316759
1,1,33,New Hampshire,1,1199618,1211196,1221276,1228935,1236305,1241585,1248429,1250276,1250859,1249055,1248246
1,1,33,New Hampshire,2,9980,11031,11784,12493,13224,13888,14737,15121,15739,16108,16351
1,1,33,New Hampshire,3,3088,3221,3279,3377,3400,3443,3551,3582,3675,3619,3491
1,1,33,New Hampshire,4,16560,18509,20209,21664,23004,24510,25579,26672,27743,28568,29024
1,1,33,New Hampshire,5,407,466,489,496,493,507,512,503,510,568,524
1,1,33,New Hampshire,6,10229,11094,12052,12875,13695,14559,15581,16386,17380,18184,19123
1,2,34,New Jersey,0,8430621,8492671,8552643,8601402,8634561,8651974,8661679,8677885,8711090,8755602,8801624
1,2,34,New Jersey,1,6593966,6606138,6617979,6622522,6615292,6595551,6571143,6550031,6542862,6543428,6549429
1,2,34,New Jersey,2,1214799,1225586,1235091,1243880,1250367,1253750,1256590,1259993,1264816,1274062,1284377
1,2,34,New Jersey,3,24509,26697,29059,31252,33579,36024,38230,40834,43537,47046,50130
1,2,34,New Jersey,4,499861,530003,559494,586091,610994,635570,657689,681789,706964,729996,749675
1,2,34,New Jersey,5,5750,5977,6264,6442,6486,6812,6950,7059,7236,7593,7787
1,2,34,New Jersey,6,91736,98270,104756,111215,117843,124267,131077,138179,145675,153477,160226
4,8,35,New Mexico,0,1821204,1831690,1855309,1877574,1903808,1932274,1962137,1990070,2010662,2036802,2065932
4,8,35,New Mexico,1,1555012,1558945,1575099,1590445,1609492,1631078,1654067,1674570,1687600,1704855,1726766
4,8,35,New Mexico,2,38255,39240,40480,41351,42590,43575,44804,45995,46536,47952,49140
4,8,35,New Mexico,3,178825,182434,185548,188600,191406,193882,196074,199158,202878,206560,209287
4,8,35,New Mexico,4,21329,21670,22828,23919,25080,26239,27400,28348,29262,30303,31384
4,8,35,New Mexico,5,2124,2247,2360,2436,2519,2565,2757,2798,2934,3106,3139
4,8,35,New Mexico,6,25659,27154,28994,30823,32721,34935,37035,39201,41452,44026,46216
1,2,36,New York,0,19001780,19082838,19137800,19175939,19171567,19132610,19104631,19132335,19212436,19307066,19392283
1,2,36,New York,1,14162802,14171067,14159311,14139520,14092313,14009676,13933304,13899597,13896947,13902265,13901240
1,2,36,New York,2,3352839,3362588,3367218,3366096,3354749,3343142,3334119,3330887,3341092,3358828,3384085
1,2,36,New York,3,103311,110471,118119,125607,133076,140850,148667,156840,166143,176161,183695
1,2,36,New York,4,1115771,1156742,1195846,1231965,1263884,1296714,1330598,1368954,1411744,1451956,1487789
1,2,36,New York,5,16882,17454,18197,18782,19527,20086,20701,21204,22034,23126,24147
1,2,36,New York,6,250175,264516,279109,293969,308018,322142,337242,354853,374476,394730,411327
3,5,37,North Carolina,0,8081614,8210122,8326201,8422501,8553152,8705407,8917270,9118037,9309449,9449566,9561558
3,5,37,North Carolina,1,6019940,6099850,6168788,6221883,6301196,6396990,6534975,6661931,6778908,6856459,6912931
3,5,37,North Carolina,2,1761665,1788451,1814581,1836358,1864749,1896346,1941888,1985772,2029922,2064933,2096403
3,5,37,North Carolina,3,103736,107849,111873,115968,120041,124227,129021,133779,138444,143564,148263
3,5,37,North Carolina,4,119791,128581,136626,145242,153875,164001,175356,187259,199098,208558,217380
3,5,37,North Carolina,5,4894,5393,5784,6175,6750,7127,7786,8388,9063,9601,10382
3,5,37,North Carolina,6,71588,79998,88549,96875,106541,116716,128244,140908,154014,166451,176199
2,4,38,North Dakota,0,642023,639062,638168,638817,644705,646089,649422,652822,657569,664968,674499
2,4,38,North Dakota,1,596394,591964,589576,588683,592452,592012,593469,595177,598020,603186,610645
2,4,38,North Dakota,2,4167,4568,4955,5277,5844,6380,6708,6986,7325,8166,8252
2,4,38,North Dakota,3,31455,31785,32247,32700,33345,33813,34592,35179,35837,36375,37032
2,4,38,North Dakota,4,3751,4099,4356,4599,4983,5282,5580,6001,6273,6525,7053
2,4,38,North Dakota,5,234,257,274,264,292,301,312,332,307,326,353
2,4,38,North Dakota,6,6022,6389,6760,7294,7789,8301,8761,9147,9807,10390,11164
2,3,39,Ohio,0,11363543,11387404,11407889,11434788,11452251,11463320,11481213,11500468,11515391,11528896,11536182
2,3,39,Ohio,1,9752216,9748013,9740972,9739773,9731678,9715818,9706701,9698184,9686422,9675738,9659665
2,3,39,Ohio,2,1321574,1335348,1348039,1359820,1369741,1380184,1391674,1402901,1412676,1421031,1429211
2,3,39,Ohio,3,25652,26127,26471,26786,27003,27437,27800,28341,28959,29064,29760
2,3,39,Ohio,4,137192,143002,149626,157159,163687,170582,176294,181867,187347,192333,197592
2,3,39,Ohio,5,3177,3398,3651,3781,4091,4252,4573,4853,5068,5187,5388
2,3,39,Ohio,6,123732,131516,139130,147469,156051,165047,174171,184322,194919,205543,214566
3,7,40,Oklahoma,0,3454365,3467100,3489080,3504892,3525233,3548597,3594090,3634349,3668976,3717572,3761702
3,7,40,Oklahoma,1,2721397,2722405,2730507,2733754,2740106,2749192,2774199,2794958,2810940,2836043,2857956
3,7,40,Oklahoma,2,264137,265290,266755,266870,268228,269299,273147,276157,277236,281437,285399
3,7,40,Oklahoma,3,276836,281053,286074,291188,296022,301766,308955,315592,322816,330302,336996
3,7,40,Oklahoma,4,48550,50109,52000,53727,55141,56350,58332,60644,62838,65402,67566
3,7,40,Oklahoma,5,2700,2929,3270,3379,3733,3882,4205,4429,4776,4953,5385
3,7,40,Oklahoma,6,140745,145314,150474,155974,162003,168108,175252,182569,190370,199435,208400
4,9,41,Oregon,0,3429708,3467937,3513424,3547376,3569463,3613202,3670883,3722417,3768748,3808600,3838957
4,9,41,Oregon,1,3132686,3158673,3191365,3214075,3226562,3256775,3299010,3335150,3366833,3391395,3408941
4,9,41,Oregon,2,58647,60227,62011,63003,63707,65155,67322,69349,71549,73298,74669
4,9,41,Oregon,3,47926,49314,50737,52277,53848,55801,57663,60115,62610,65108,67045
4,9,41,Oregon,4,105157,109603,114037,117792,120653,124996,130039,134572,138328,142352,145912
4,9,41,Oregon,5,8731,9338,9925,10539,10948,11619,12245,12938,13469,14273,14719
4,9,41,Oregon,6,76561,80782,85349,89690,93745,98856,104604,110293,115959,122174,127671
1,2,42,Pennsylvania,0,12284173,12298970,12331031,12374658,12410722,12449990,12510809,12563937,12612285,12666858,12709630
1,2,42,Pennsylvania,1,10670718,10651965,10645010,10646774,10638463,10631953,10643317,10648442,10649979,10659092,10664819
1,2,42,Pennsylvania,2,1261602,1273174,1287953,1304608,1323311,1342155,1364087,1384015,1403066,1421059,1434966
1,2,42,Pennsylvania,3,20164,22059,23896,25790,27809,29735,31717,33991,36226,38449,39921
1,2,42,Pennsylvania,4,228049,239637,252897,266870,280279,294268,308789,322476,335116,348126,359947
1,2,42,Pennsylvania,5,4478,4600,4808,5055,5414,5807,6111,6411,6730,6832,7172
1,2,42,Pennsylvania,6,99162,107535,116467,125561,135446,146072,156788,168602,181168,193300,202805
1,1,44,Rhode Island,0,1050268,1057142,1065995,1071342,1074579,1067916,1063096,1057315,1055003,1053646,1052886
1,1,44,Rhode Island,1,943392,945933,949738,950441,949376,939748,932328,923855,918265,913480,910062
1,1,44,Rhode Island,2,60320,62318,64599,66719,68779,69875,70831,72053,73099,74365,75196
1,1,44,Rhode Island,3,5994,6305,6674,7057,7322,7704,8034,8155,8477,8886,9160
1,1,44,Rhode Island,4,25617,26460,27675,28678,29458,29915,30096,30366,31015,31502,31860
1,1,44,Rhode Island,5,1140,1215,1272,1336,1370,1449,1434,1501,1497,1602,1588
1,1,44,Rhode Island,6,13805,14911,16037,17111,18274,19225,20373,21385,22650,23811,25020
3,5,45,South Carolina,0,4024223,4064995,4107795,4150297,4210921,4270150,4357847,4444110,4528996,4589872,4636312
3,5,45,South Carolina,1,2745477,2771630,2801386,2829623,2872043,2914430,2977023,3040155,3098698,3141756,3169435
3,5,45,South Carolina,2,1194520,1203169,1209656,1217203,1228313,1237906,1254565,1268537,1285421,1295429,1307425
3,5,45,South Carolina,3,14589,15541,16527,17346,18357,19310,20473,21728,23133,23923,24752
3,5,45,South Carolina,4,37618,39212,41351,43718,46241,48895,51637,54727,57416,59657,61635
3,5,45,South Carolina,5,1857,2085,2294,2484,2659,2896,3134,3350,3695,3817,3967
3,5,45,South Carolina,6,30162,33358,36581,39923,43308,46713,51015,55613,60633,65290,69098
2,4,46,South Dakota,0,755844,757972,760020,763729,770396,775493,783033,791623,799124,807067,816463
2,4,46,South Dakota,1,674595,674503,674297,675551,679638,682268,687117,692596,697376,701817,708383
2,4,46,South Dakota,2,4985,5538,6076,6575,7052,7582,8094,8806,9361,10104,10550
2,4,46,South Dakota,3,62763,63495,64257,65226,66358,67149,68308,69565,70827,71791,73016
2,4,46,South Dakota,4,4510,4783,5036,5386,5722,5971,6377,6695,6847,7615,7794
2,4,46,South Dakota,5,269,300,363,365,400,446,429,475,508,533,508
2,4,46,South Dakota,6,8722,9353,9991,10626,11226,12077,12708,13486,14205,15207,16212
3,6,47,Tennessee,0,5703719,5750789,5795918,5847812,5910809,5991057,6088766,6175727,6247411,6306019,6356897
3,6,47,Tennessee,1,4635849,4662873,4687848,4719321,4758617,4812899,4880336,4942949,4994148,5031693,5062408
3,6,47,Tennessee,2,941527,953361,964948,976542,990590,1006150,1025289,1037827,1048329,1059243,1071277
3,6,47,Tennessee,3,16125,17253,18108,18914,19946,20872,21852,23727,24791,25799,26360
3,6,47,Tennessee,4,59008,61638,65080,68694,72693,76828,81183,85203,88277,91483,94450
3,6,47,Tennessee,5,2540,2811,3053,3259,3557,3901,4279,4685,4883,5329,5441
3,6,47,Tennessee,6,48670,52853,56881,61082,65406,70407,75827,81336,86983,92472,96961
3,7,48,Texas,0,20944499,21319622,21690325,22030931,22394023,22778123,23359580,23831983,24309039,24801761,25257114
3,7,48,Texas,1,17525167,17788213,18048885,18288277,18543328,18808038,19161346,19495829,19826396,20162083,20478826
3,7,48,Texas,2,2461903,2511451,2558084,2598399,2644550,2696184,2840751,2893199,2952533,3020504,3081825
3,7,48,Texas,3,140047,147419,154930,162803,171752,181696,193844,206953,221760,238217,252721
3,7,48,Texas,4,594335,631951,670055,705573,739882,778158,825341,873102,920343,967252,1007273
3,7,48,Texas,5,20741,21654,22535,23317,24151,25133,26288,27744,29094,30395,31452
3,7,48,Texas,6,202306,218934,235836,252562,270360,288914,312010,335156,358913,383310,405017
4,8,49,Utah,0,2244502,2283715,2324815,2360137,2401580,2457719,2525507,2597746,2663029,2723421,2776469
4,8,49,Utah,1,2109989,2142381,2176691,2206161,2241095,2289230,2347641,2409092,2464247,2514266,2558131
4,8,49,Utah,2,19465,20811,22021,22684,23873,25405,27173,29397,30893,32768,34072
4,8,49,Utah,3,31370,31648,32370,32712,33272,34192,35336,36955,38241,39563,40947
4,8,49,Utah,4,39186,40848,42425,43809,45460,47142,49387,51363,53811,56305,58297
4,8,49,Utah,5,16223,17084,17815,18637,19432,20380,21302,22656,24014,25204,26214
4,8,49,Utah,6,28269,30943,33493,36134,38448,41370,44668,48283,51823,55315,58808
1,1,50,Vermont,0,609618,612223,615442,617858,619920,621215,622892,623481,624151,624817,625960
1,1,50,Vermont,1,592031,593614,595803,597224,598348,598555,599014,598657,598535,597923,598607
1,1,50,Vermont,2,3251,3618,3882,4243,4599,4958,5386,5640,6051,6534,6416
1,1,50,Vermont,3,2490,2534,2490,2447,2467,2406,2417,2362,2370,2379,2270
1,1,50,Vermont,4,5462,5798,6189,6482,6684,6971,7316,7671,7676,7983,8062
1,1,50,Vermont,5,149,157,151,162,155,164,172,181,171,174,188
1,1,50,Vermont,6,6235,6502,6927,7300,7667,8161,8587,8970,9348,9824,10417
3,5,51,Virginia,0,7105817,7198362,7286873,7366977,7475575,7577105,7673725,7751000,7833496,7925937,8024617
3,5,51,Virginia,1,5291975,5342181,5387673,5427062,5484790,5535129,5579437,5611286,5647186,5690274,5737904
3,5,51,Virginia,2,1416671,1431476,1446516,1459320,1479563,1497615,1518543,1532613,1548267,1565478,1585613
3,5,51,Virginia,3,23233,25126,26881,28534,30429,32188,33938,35756,37665,39888,41770
3,5,51,Virginia,4,271565,288780,306208,323616,342482,362814,381441,399640,416988,434370,452281
3,5,51,Virginia,5,4654,5077,5359,5688,6035,6452,6847,7187,7564,7987,8261
3,5,51,Virginia,6,97719,105722,114236,122757,132276,142907,153519,164518,175826,187940,198788
4,9,53,Washington,0,5910512,5985722,6052349,6104115,6178645,6257305,6370753,6461587,6562231,6667426,6744496
4,9,53,Washington,1,5089730,5131720,5166047,5188400,5228882,5271430,5339831,5389485,5445589,5505691,5548035
4,9,53,Washington,2,199718,205250,210038,212949,217049,221729,229193,234347,242340,250117,253407
4,9,53,Washington,3,97315,99254,100972,103046,105992,108415,111104,114361,117951,120524,123258
4,9,53,Washington,4,334430,349658,364599,378181,392988,409177,429033,446725,463498,480895,495202
4,9,53,Washington,5,25684,27128,28601,30112,31757,33568,35683,37663,39945,42221,43781
4,9,53,Washington,6,163635,172712,182092,191427,201977,212986,225909,239006,252908,267978,280813
3,5,54,West Virginia,0,1807021,1801481,1805414,1812295,1816438,1820492,1827912,1834052,1840310,1847775,1853973
3,5,54,West Virginia,1,1721633,1715007,1717331,1722107,1724169,1726255,1730899,1734522,1738166,1742732,1746987
3,5,54,West Virginia,2,57767,57651,57975,58573,59041,59437,60562,61393,62258,63417,64006
3,5,54,West Virginia,3,3672,3693,3737,3737,3798,3851,3895,3948,4032,4052,3954
3,5,54,West Virginia,4,9732,9895,10141,10581,11017,11186,11621,11925,12118,12591,12672
3,5,54,West Virginia,5,424,464,461,477,459,453,479,476,510,451,481
3,5,54,West Virginia,6,13793,14771,15769,16820,17954,19310,20456,21788,23226,24532,25873
2,3,55,Wisconsin,0,5373999,5406835,5445162,5479203,5514026,5546166,5577655,5610775,5640996,5669264,5691047
2,3,55,Wisconsin,1,4871484,4889223,4911636,4931084,4952000,4969387,4985569,5002847,5017423,5030324,5038904
2,3,55,Wisconsin,2,310480,316863,323469,329090,334119,339638,345509,351506,357415,363022,367753
2,3,55,Wisconsin,3,48554,49462,50616,51731,52828,54053,55182,56594,57734,58819,60238
2,3,55,Wisconsin,4,92168,96290,100672,104870,108872,112812,116862,120879,125054,129070,132405
2,3,55,Wisconsin,5,1839,1949,2013,2040,2108,2179,2296,2356,2438,2562,2505
2,3,55,Wisconsin,6,49474,53048,56756,60388,64099,68097,72237,76593,80932,85467,89242
4,8,56,Wyoming,0,494300,494657,500017,503453,509106,514157,522667,534876,546043,559851,564460
4,8,56,Wyoming,1,469875,469145,473616,476461,481147,485347,492607,503310,513386,525475,529679
4,8,56,Wyoming,2,3940,4181,4285,4330,4530,4574,4671,4945,4914,5402,5101
4,8,56,Wyoming,3,11429,11812,12071,12142,12414,12609,13064,13562,13966,14304,14438
4,8,56,Wyoming,4,2931,3065,3216,3361,3480,3630,3878,4030,4255,4596,4640
4,8,56,Wyoming,5,328,381,403,412,425,433,481,495,503,503,504
4,8,56,Wyoming,6,5797,6073,6426,6747,7110,7564,7966,8534,9019,9571,10098
