STATE,1988,1992,1996,2000,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Alabama,63.3,72,67.1,60.6,48.1,51.8,52.1,50.5,48.3,44,41,39.1,34.2,32,30.2,28.4,27.1
Alaska,55.6,65.2,50.8,48.9,39.9,41.8,42.9,44.2,43.2,38.5,36.4,34.7,30.6,28.3,29.5,26,22
Arizona,69.4,80.2,71.5,67.4,58.7,61.2,59.6,54.5,48.6,42,38.2,37,33,29.9,26.3,23.5,21.9
Arkansas,71.6,74.8,73.5,66,58.6,60.8,60.1,59.8,57.8,52.7,49.7,45.1,43.1,39.3,38,34.7,32.8
California,58.4,72.8,61,46.9,38.7,39.9,39.6,37.9,34.9,31.7,28.7,26.6,23.5,21.1,19,17,15.1
Colorado,48.7,58.4,50.7,50.9,41.8,41.9,41.6,40.5,37.7,33.4,28.9,25.4,23.4,20.4,19.5,17.9,16.1
Connecticut,35,39,36.6,31.1,23.3,23.5,23,22.6,21.2,18.4,16.1,15,12.9,11.5,10.2,9.4,8.8
Delaware,53.1,58.7,53.8,47.9,40.1,40.6,39.2,38.3,33.5,30.7,29.1,25.1,24.4,20.9,18.2,19.7,18.5
District of Columbia,75.6,106.7,79.2,53.3,42.1,48.1,50.4,51.1,48.5,45.5,42.8,38.9,32,29,25.8,24.1,21.2
Florida,62.4,65.2,57.2,50.8,42.3,43.1,43,40,36.6,32.3,29.6,28,24.5,22.5,20.8,19.2,18.2
Georgia,68.2,74.2,66.8,62.5,52,53.7,53.4,50,47,41.5,38,33.7,30.4,28.3,25.6,23.5,21.9
Hawaii,49,54.2,48.9,46.1,36.5,39,38.7,38.9,37,32.6,29.8,28.1,25.1,23.5,20.9,19.3,19
Idaho,46.5,51.5,46.9,42.7,36.4,38.1,39.9,39.6,35.9,33.1,28.4,28.3,25.7,23.2,22.5,19.9,18.5
Illinois,54,63,55.3,47.9,38.5,39.8,40.2,38.5,35.9,33.1,29.5,27.9,24.7,22.8,21.1,18.8,17.4
Indiana,52.4,58.5,55.1,49,42.1,41.8,43,41.2,40.8,37.5,34.8,33,30.2,28,26.1,23.5,22.8
Iowa,34.1,40.5,37.4,34.2,31.1,32.6,32.8,33.4,32.1,28.6,25.3,24.1,22,19.7,18.6,17.2,16.1
Kansas,50.8,55.6,49.4,45.9,40.1,40.9,42.5,44.1,42.7,39.2,35.6,34.1,29.6,27.6,25.6,21.9,21.3
Kentucky,60.8,64.8,61.2,55,48.1,52.3,52.6,52.5,49.7,46.4,43.3,41.1,39,35.3,32.3,30.9,29
Louisiana,68.4,76.1,66.8,62,47.3,53.6,55.2,54,51.7,48.2,45.5,43.1,39.3,35.9,34.3,30.8,29.2
Maine,41.1,40,31.7,29.1,24.4,24.9,26,25,24,21.5,20.7,19.5,17.4,16.4,15.3,14.8,13.2
Maryland,49.8,50.6,45.7,41.2,32.1,33.7,34.3,32.6,30.7,27.3,24.4,22.1,19.3,17.9,17,16,14.2
Massachusetts,32,37.5,31.1,25.8,20,20.6,21.4,19.8,19.5,17,15.1,14,11.9,10.5,9.4,8.5,8
Michigan,47,56.6,46.4,40.1,32.2,33.2,33.5,32.3,31.9,30.3,27.7,26.1,23.5,21,19.3,17.7,16.4
Minnesota,31.2,35.9,32.3,29.9,25.5,27.3,27.9,26.5,24.1,22.5,19.3,18.6,16.8,15.5,13.7,12.6,12.1
Mississippi,74,83.6,74,70.1,58.3,67.2,70.1,64,62.2,55.4,50.5,46,42.2,37.8,34.7,32.6,30.9
Missouri,55.5,63.1,53.2,48.5,41.7,44.1,44,43.5,40.6,37.2,34.6,32.2,30,27.3,25.2,23.4,22.5
Montana,40.2,46,39.3,36.6,34.5,37.6,35.3,38.9,38.4,35.1,29.3,28.8,27.8,26.6,25.5,23.7,21.1
Nebraska,38.5,41.1,38.9,37.6,33.1,32.8,35.5,35.8,34.8,31.1,27.4,26.7,24.9,22.3,22.1,19.2,18.2
Nevada,64,70.6,69.5,62.3,51.6,53.4,51.7,49.1,44,39,36,33.8,30.8,28.9,27.8,24.2,22
New Hampshire,32.6,31.3,28.2,23.3,18,18.1,19.3,19.1,16.4,15.7,13.6,13.8,12.5,11,10.9,9.2,8.4
New Jersey,37.9,38.9,35.2,31.8,24.2,24.8,24.9,24,22,20,18.6,16.7,14.9,13.2,12.2,11.2,10.4
New Mexico,72.4,79.7,70.5,65.5,61.2,62.7,63.9,61.4,60.3,53.2,48.3,46.8,43,37.3,34.1,29.6,27.9
New York,39.6,44.5,39.9,33.2,25.7,26,26,25.5,24.2,22.8,21.1,19.7,17.7,16.2,14.8,13.4,12.7
North Carolina,60.9,69.2,62.3,58.6,47,48.1,48,47.3,43.7,38.3,34.8,31.8,28.4,26,23.6,21.7,20.5
North Dakota,32.3,36.9,31.6,27.3,27,26.1,29.2,28.3,28.7,28.9,28.4,26.5,24.4,24.4,22.7,20.5,16.3
Ohio,51.8,58,50.4,46,38.3,38.9,39.9,39.5,37.9,34.3,31.4,29.7,27.2,25.1,23.3,21.7,20.8
Oklahoma,63.5,69.8,63.1,59.6,52.8,56.6,58.5,57.8,57.4,50.7,48,47.3,42.9,38.6,34.7,33.3,29.7
Oregon,47.9,53,50.5,42.7,32.7,34.5,34.5,35.6,32.5,28.3,25.8,23.7,21.8,20.1,19.2,16.7,15.1
Pennsylvania,41.3,44.8,38.4,34,29.2,30.4,30.7,30.4,28.7,27.1,25,23.7,20.8,19.3,17.8,15.9,14.8
Rhode Island,38.3,46.2,38.9,33.5,27.8,27.5,29.2,27.6,25.8,22.4,21.3,19.8,17.5,15.8,14.3,13,11.4
South Carolina,65.1,69.7,60.2,57.8,48.7,52,51.9,51.2,47,42.9,38.9,36.4,31.7,28.5,26.2,23.7,21.7
South Dakota,46.1,48.3,40.1,38,36.8,38.7,41.3,39.1,38.7,34.8,34.4,33.5,29.6,26.8,26.5,24.9,22.3
Tennessee,64.3,70.9,64.5,59.3,53.3,52.1,53.4,52.2,48.4,43.5,40.8,38.4,34.8,33.2,30.6,27.9,26.6
Texas,69.1,78.2,73.1,68.5,60.9,61.6,61.8,60.7,57.9,52.2,46.8,44.2,40.7,37.6,34.4,30.7,27.5
Utah,46,45.7,41.2,38,30.5,33.3,35.4,34.6,30.7,28,23.8,23.3,20.8,19.6,17.9,15.7,15.1
Vermont,33.6,35.6,29.5,23.4,17.4,19.8,21,20.3,17.3,17.9,16.7,16.2,14.5,14.3,11.5,10.2,10
Virginia,45.5,51.7,45.4,40.7,33.6,34.2,34.2,32.5,30.4,27.4,24.5,22.9,20.1,18.5,17.1,15.5,15
Washington,47.1,51,45.6,39,31.1,32.2,33.3,32.8,30.4,26.9,25.3,23.3,20.5,19.2,17.6,16.6,14.7
West Virginia,49.9,56.3,50.5,46.5,42.2,44.2,45.8,46.9,48.2,45.2,43.9,43.9,40.2,36.6,32.1,29.4,27.1
Wisconsin,38.3,42,36.9,35.1,29.7,29.9,31.1,30.3,29.4,26.2,23.3,21.8,19.5,18,16.2,15,13.8
Wyoming,49.3,49.8,44.7,41.6,42.7,46,49.9,47.5,43.4,39.4,35.2,34.9,29.9,30.8,28.8,26.5,24.5