,STATE,YEAR,Abortion Rate per 1000 People,AGE,Abortion Rate per 1000 People (Adjusted),"Abortion Rate per 100,000 People (Adjusted)"
0,Alabama,1988,31.4,15-19,-4.634,-463.4
1,Alabama,1989,30.35,15-19,-4.0395,-403.95
2,Alabama,1990,29.3,15-19,-3.445,-344.5
3,Alabama,1991,28.25,15-19,-2.8505,-285.05
4,Alabama,1992,27.2,15-19,-2.256,-225.6
5,Alabama,1993,25.375,15-19,-2.683,-268.3
6,Alabama,1994,23.55,15-19,-3.11,-311
7,Alabama,1995,21.725,15-19,-3.537,-353.7
8,Alabama,1996,19.9,15-19,-3.964,-396.4
9,Alabama,1997,18.8,15-19,-4.0895,-408.95
10,Alabama,1998,17.7,15-19,-4.215,-421.5
11,Alabama,1999,16.6,15-19,-4.3405,-434.05
12,Alabama,2000,15.5,15-19,-5.105882353,-510.5882353
13,Alabama,2001,14.78,15-19,-4.983529412,-498.3529412
14,Alabama,2002,14.06,15-19,-4.861176471,-486.1176471
15,Alabama,2003,13.34,15-19,-4.738823529,-473.8823529
16,Alabama,2004,12.62,15-19,-4.616470588,-461.6470588
17,Alabama,2005,11.9,15-19,-4.494117647,-449.4117647
18,Alabama,2006,11.9,15-19,-4.294117647,-429.4117647
19,Alabama,2007,11.3,15-19,-4.680392157,-468.0392157
20,Alabama,2008,11.3,15-19,-4.433333333,-443.3333333
21,Alabama,2009,10.2,15-19,-4.074509804,-407.4509804
22,Alabama,2010,9.1,15-19,-3.978431373,-397.8431373
23,Alabama,2011,8.8,15-19,-3.031372549,-303.1372549
24,Alabama,2012,7.7,15-19,-2.409803922,-240.9803922
25,Alabama,2013,6.5,15-19,-2.496078431,-249.6078431
26,Alabama,2014,6.3,15-19,-1.756862745,-175.6862745
27,Alabama,2015,5.7,15-19,-1.562745098,-156.2745098
28,Alabama,2016,5.4,15-19,-1.392156863,-139.2156863
29,Alabama,2017,5.1,15-19,-1.531372549,-153.1372549
30,Alaska,1988,35.9,15-19,-0.134,-13.4
31,Alaska,1989,34.425,15-19,0.0355,3.55
32,Alaska,1990,32.95,15-19,0.205,20.5
33,Alaska,1991,31.475,15-19,0.3745,37.45
34,Alaska,1992,30,15-19,0.544,54.4
35,Alaska,1993,27.225,15-19,-0.833,-83.3
36,Alaska,1994,24.45,15-19,-2.21,-221
37,Alaska,1995,21.675,15-19,-3.587,-358.7
38,Alaska,1996,18.9,15-19,-4.964,-496.4
39,Alaska,1997,17.825,15-19,-5.0645,-506.45
40,Alaska,1998,16.75,15-19,-5.165,-516.5
41,Alaska,1999,15.675,15-19,-5.2655,-526.55
42,Alaska,2000,14.6,15-19,-6.005882353,-600.5882353
43,Alaska,2001,14.82,15-19,-4.943529412,-494.3529412
44,Alaska,2002,15.04,15-19,-3.881176471,-388.1176471
45,Alaska,2003,15.26,15-19,-2.818823529,-281.8823529
46,Alaska,2004,15.48,15-19,-1.756470588,-175.6470588
47,Alaska,2005,15.7,15-19,-0.694117647,-69.41176471
48,Alaska,2006,14.9,15-19,-1.294117647,-129.4117647
49,Alaska,2007,14.3,15-19,-1.680392157,-168.0392157
50,Alaska,2008,14.8,15-19,-0.933333333,-93.33333333
51,Alaska,2009,14.1,15-19,-0.174509804,-17.45098039
52,Alaska,2010,16.9,15-19,3.821568627,382.1568627
53,Alaska,2011,14.1,15-19,2.268627451,226.8627451
54,Alaska,2012,12.1,15-19,1.990196078,199.0196078
55,Alaska,2013,10.1,15-19,1.103921569,110.3921569
56,Alaska,2014,9.4,15-19,1.343137255,134.3137255
57,Alaska,2015,7.8,15-19,0.537254902,53.7254902
58,Alaska,2016,7.6,15-19,0.807843137,80.78431373
59,Alaska,2017,6.6,15-19,-0.031372549,-3.137254902
60,Arizona,1988,39.4,15-19,3.366,336.6
61,Arizona,1989,37.45,15-19,3.0605,306.05
62,Arizona,1990,35.5,15-19,2.755,275.5
63,Arizona,1991,33.55,15-19,2.4495,244.95
64,Arizona,1992,31.6,15-19,2.144,214.4
65,Arizona,1993,30.325,15-19,2.267,226.7
66,Arizona,1994,29.05,15-19,2.39,239
67,Arizona,1995,27.775,15-19,2.513,251.3
68,Arizona,1996,26.5,15-19,2.636,263.6
69,Arizona,1997,25.25,15-19,2.3605,236.05
70,Arizona,1998,24,15-19,2.085,208.5
71,Arizona,1999,22.75,15-19,1.8095,180.95
72,Arizona,2000,21.5,15-19,0.894117647,89.41176471
73,Arizona,2001,20.76,15-19,0.996470588,99.64705882
74,Arizona,2002,20.02,15-19,1.098823529,109.8823529
75,Arizona,2003,19.28,15-19,1.201176471,120.1176471
76,Arizona,2004,18.54,15-19,1.303529412,130.3529412
77,Arizona,2005,17.8,15-19,1.405882353,140.5882353
78,Arizona,2006,16,15-19,-0.194117647,-19.41176471
79,Arizona,2007,14.5,15-19,-1.480392157,-148.0392157
80,Arizona,2008,15.3,15-19,-0.433333333,-43.33333333
81,Arizona,2009,11.8,15-19,-2.474509804,-247.4509804
82,Arizona,2010,9.1,15-19,-3.978431373,-397.8431373
83,Arizona,2011,9.3,15-19,-2.531372549,-253.1372549
84,Arizona,2012,7.8,15-19,-2.309803922,-230.9803922
85,Arizona,2013,6.7,15-19,-2.296078431,-229.6078431
86,Arizona,2014,5.8,15-19,-2.256862745,-225.6862745
87,Arizona,2015,5.6,15-19,-1.662745098,-166.2745098
88,Arizona,2016,5.9,15-19,-0.892156863,-89.21568627
89,Arizona,2017,5.4,15-19,-1.231372549,-123.1372549
90,Arkansas,1988,27.2,15-19,-8.834,-883.4
91,Arkansas,1989,26.2,15-19,-8.1895,-818.95
92,Arkansas,1990,25.2,15-19,-7.545,-754.5
93,Arkansas,1991,24.2,15-19,-6.9005,-690.05
94,Arkansas,1992,23.2,15-19,-6.256,-625.6
95,Arkansas,1993,21.4,15-19,-6.658,-665.8
96,Arkansas,1994,19.6,15-19,-7.06,-706
97,Arkansas,1995,17.8,15-19,-7.462,-746.2
98,Arkansas,1996,16,15-19,-7.864,-786.4
99,Arkansas,1997,15.075,15-19,-7.8145,-781.45
100,Arkansas,1998,14.15,15-19,-7.765,-776.5
101,Arkansas,1999,13.225,15-19,-7.7155,-771.55
102,Arkansas,2000,12.3,15-19,-8.305882353,-830.5882353
103,Arkansas,2001,11.54,15-19,-8.223529412,-822.3529412
104,Arkansas,2002,10.78,15-19,-8.141176471,-814.1176471
105,Arkansas,2003,10.02,15-19,-8.058823529,-805.8823529
106,Arkansas,2004,9.26,15-19,-7.976470588,-797.6470588
107,Arkansas,2005,8.5,15-19,-7.894117647,-789.4117647
108,Arkansas,2006,10.2,15-19,-5.994117647,-599.4117647
109,Arkansas,2007,9.9,15-19,-6.080392157,-608.0392157
110,Arkansas,2008,9.8,15-19,-5.933333333,-593.3333333
111,Arkansas,2009,9.1,15-19,-5.174509804,-517.4509804
112,Arkansas,2010,8.8,15-19,-4.278431373,-427.8431373
113,Arkansas,2011,7.7,15-19,-4.131372549,-413.1372549
114,Arkansas,2012,7.1,15-19,-3.009803922,-300.9803922
115,Arkansas,2013,5.8,15-19,-3.196078431,-319.6078431
116,Arkansas,2014,5,15-19,-3.056862745,-305.6862745
117,Arkansas,2015,4.2,15-19,-3.062745098,-306.2745098
118,Arkansas,2016,3.9,15-19,-2.892156863,-289.2156863
119,Arkansas,2017,4,15-19,-2.631372549,-263.1372549
120,California,1988,75,15-19,38.966,3896.6
121,California,1989,71.9,15-19,37.5105,3751.05
122,California,1990,68.8,15-19,36.055,3605.5
123,California,1991,65.7,15-19,34.5995,3459.95
124,California,1992,62.6,15-19,33.144,3314.4
125,California,1993,58.6,15-19,30.542,3054.2
126,California,1994,54.6,15-19,27.94,2794
127,California,1995,50.6,15-19,25.338,2533.8
128,California,1996,46.6,15-19,22.736,2273.6
129,California,1997,44.025,15-19,21.1355,2113.55
130,California,1998,41.45,15-19,19.535,1953.5
131,California,1999,38.875,15-19,17.9345,1793.45
132,California,2000,36.3,15-19,15.69411765,1569.411765
133,California,2001,34.3,15-19,14.53647059,1453.647059
134,California,2002,32.3,15-19,13.37882353,1337.882353
135,California,2003,30.3,15-19,12.22117647,1222.117647
136,California,2004,28.3,15-19,11.06352941,1106.352941
137,California,2005,26.3,15-19,9.905882353,990.5882353
138,California,2006,26.5,15-19,10.30588235,1030.588235
139,California,2007,27,15-19,11.01960784,1101.960784
140,California,2008,25.1,15-19,9.366666667,936.6666667
141,California,2009,22.7,15-19,8.425490196,842.5490196
142,California,2010,20.2,15-19,7.121568627,712.1568627
143,California,2011,17.9,15-19,6.068627451,606.8627451
144,California,2012,15.9,15-19,5.790196078,579.0196078
145,California,2013,14.4,15-19,5.403921569,540.3921569
146,California,2014,12.7,15-19,4.643137255,464.3137255
147,California,2015,11.4,15-19,4.137254902,413.7254902
148,California,2016,10.3,15-19,3.507843137,350.7843137
149,California,2017,9.6,15-19,2.968627451,296.8627451
150,Colorado,1988,38.4,15-19,2.366,236.6
151,Colorado,1989,38.1,15-19,3.7105,371.05
152,Colorado,1990,37.8,15-19,5.055,505.5
153,Colorado,1991,37.5,15-19,6.3995,639.95
154,Colorado,1992,37.2,15-19,7.744,774.4
155,Colorado,1993,35.3,15-19,7.242,724.2
156,Colorado,1994,33.4,15-19,6.74,674
157,Colorado,1995,31.5,15-19,6.238,623.8
158,Colorado,1996,29.6,15-19,5.736,573.6
159,Colorado,1997,26.925,15-19,4.0355,403.55
160,Colorado,1998,24.25,15-19,2.335,233.5
161,Colorado,1999,21.575,15-19,0.6345,63.45
162,Colorado,2000,18.9,15-19,-1.705882353,-170.5882353
163,Colorado,2001,18.42,15-19,-1.343529412,-134.3529412
164,Colorado,2002,17.94,15-19,-0.981176471,-98.11764706
165,Colorado,2003,17.46,15-19,-0.618823529,-61.88235294
166,Colorado,2004,16.98,15-19,-0.256470588,-25.64705882
167,Colorado,2005,16.5,15-19,0.105882353,10.58823529
168,Colorado,2006,16.4,15-19,0.205882353,20.58823529
169,Colorado,2007,17.1,15-19,1.119607843,111.9607843
170,Colorado,2008,16,15-19,0.266666667,26.66666667
171,Colorado,2009,14.2,15-19,-0.074509804,-7.450980392
172,Colorado,2010,12.5,15-19,-0.578431373,-57.84313725
173,Colorado,2011,11,15-19,-0.831372549,-83.1372549
174,Colorado,2012,9.7,15-19,-0.409803922,-40.98039216
175,Colorado,2013,8.3,15-19,-0.696078431,-69.60784314
176,Colorado,2014,7.5,15-19,-0.556862745,-55.68627451
177,Colorado,2015,6.9,15-19,-0.362745098,-36.2745098
178,Colorado,2016,6.2,15-19,-0.592156863,-59.21568627
179,Colorado,2017,6.2,15-19,-0.431372549,-43.1372549
180,Connecticut,1988,55.3,15-19,19.266,1926.6
181,Connecticut,1989,52.5,15-19,18.1105,1811.05
182,Connecticut,1990,49.7,15-19,16.955,1695.5
183,Connecticut,1991,46.9,15-19,15.7995,1579.95
184,Connecticut,1992,44.1,15-19,14.644,1464.4
185,Connecticut,1993,42.3,15-19,14.242,1424.2
186,Connecticut,1994,40.5,15-19,13.84,1384
187,Connecticut,1995,38.7,15-19,13.438,1343.8
188,Connecticut,1996,36.9,15-19,13.036,1303.6
189,Connecticut,1997,35.225,15-19,12.3355,1233.55
190,Connecticut,1998,33.55,15-19,11.635,1163.5
191,Connecticut,1999,31.875,15-19,10.9345,1093.45
192,Connecticut,2000,30.2,15-19,9.594117647,959.4117647
193,Connecticut,2001,29.5,15-19,9.736470588,973.6470588
194,Connecticut,2002,28.8,15-19,9.878823529,987.8823529
195,Connecticut,2003,28.1,15-19,10.02117647,1002.117647
196,Connecticut,2004,27.4,15-19,10.16352941,1016.352941
197,Connecticut,2005,26.7,15-19,10.30588235,1030.588235
198,Connecticut,2006,27.6,15-19,11.40588235,1140.588235
199,Connecticut,2007,27.3,15-19,11.31960784,1131.960784
200,Connecticut,2008,26,15-19,10.26666667,1026.666667
201,Connecticut,2009,23.1,15-19,8.825490196,882.5490196
202,Connecticut,2010,20,15-19,6.921568627,692.1568627
203,Connecticut,2011,16.8,15-19,4.968627451,496.8627451
204,Connecticut,2012,14,15-19,3.890196078,389.0196078
205,Connecticut,2013,12.7,15-19,3.703921569,370.3921569
206,Connecticut,2014,11.7,15-19,3.643137255,364.3137255
207,Connecticut,2015,10.7,15-19,3.437254902,343.7254902
208,Connecticut,2016,9.2,15-19,2.407843137,240.7843137
209,Connecticut,2017,9.3,15-19,2.668627451,266.8627451
210,Delaware,1988,49,15-19,12.966,1296.6
211,Delaware,1989,47.625,15-19,13.2355,1323.55
212,Delaware,1990,46.25,15-19,13.505,1350.5
213,Delaware,1991,44.875,15-19,13.7745,1377.45
214,Delaware,1992,43.5,15-19,14.044,1404.4
215,Delaware,1993,38.575,15-19,10.517,1051.7
216,Delaware,1994,33.65,15-19,6.99,699
217,Delaware,1995,28.725,15-19,3.463,346.3
218,Delaware,1996,23.8,15-19,-0.064,-6.4
219,Delaware,1997,25.625,15-19,2.7355,273.55
220,Delaware,1998,27.45,15-19,5.535,553.5
221,Delaware,1999,29.275,15-19,8.3345,833.45
222,Delaware,2000,31.1,15-19,10.49411765,1049.411765
223,Delaware,2001,29.84,15-19,10.07647059,1007.647059
224,Delaware,2002,28.58,15-19,9.658823529,965.8823529
225,Delaware,2003,27.32,15-19,9.241176471,924.1176471
226,Delaware,2004,26.06,15-19,8.823529412,882.3529412
227,Delaware,2005,24.8,15-19,8.405882353,840.5882353
228,Delaware,2006,28.3,15-19,12.10588235,1210.588235
229,Delaware,2007,34.3,15-19,18.31960784,1831.960784
230,Delaware,2008,32.7,15-19,16.96666667,1696.666667
231,Delaware,2009,26.3,15-19,12.0254902,1202.54902
232,Delaware,2010,28.2,15-19,15.12156863,1512.156863
233,Delaware,2011,22.7,15-19,10.86862745,1086.862745
234,Delaware,2012,16.8,15-19,6.690196078,669.0196078
235,Delaware,2013,15.2,15-19,6.203921569,620.3921569
236,Delaware,2014,13.5,15-19,5.443137255,544.3137255
237,Delaware,2015,12.1,15-19,4.837254902,483.7254902
238,Delaware,2016,11,15-19,4.207843137,420.7843137
239,Delaware,2017,8.4,15-19,1.768627451,176.8627451
240,District of Columbia,1988,,15-19,,0
241,District of Columbia,1989,,15-19,,0
242,District of Columbia,1990,,15-19,,0
243,District of Columbia,1991,,15-19,,0
244,District of Columbia,1992,,15-19,,0
245,District of Columbia,1993,,15-19,,0
246,District of Columbia,1994,,15-19,,0
247,District of Columbia,1995,,15-19,,0
248,District of Columbia,1996,,15-19,,0
249,District of Columbia,1997,,15-19,,0
250,District of Columbia,1998,,15-19,,0
251,District of Columbia,1999,,15-19,,0
252,District of Columbia,2000,52.6,15-19,31.99411765,3199.411765
253,District of Columbia,2001,52.94,15-19,33.17647059,3317.647059
254,District of Columbia,2002,53.28,15-19,34.35882353,3435.882353
255,District of Columbia,2003,53.62,15-19,35.54117647,3554.117647
256,District of Columbia,2004,53.96,15-19,36.72352941,3672.352941
257,District of Columbia,2005,54.3,15-19,37.90588235,3790.588235
258,District of Columbia,2006,50,15-19,33.80588235,3380.588235
259,District of Columbia,2007,40.1,15-19,24.11960784,2411.960784
260,District of Columbia,2008,46.8,15-19,31.06666667,3106.666667
261,District of Columbia,2009,38.2,15-19,23.9254902,2392.54902
262,District of Columbia,2010,32.7,15-19,19.62156863,1962.156863
263,District of Columbia,2011,25.6,15-19,13.76862745,1376.862745
264,District of Columbia,2012,20.3,15-19,10.19019608,1019.019608
265,District of Columbia,2013,26.4,15-19,17.40392157,1740.392157
266,District of Columbia,2014,21.8,15-19,13.74313725,1374.313725
267,District of Columbia,2015,15.3,15-19,8.037254902,803.7254902
268,District of Columbia,2016,12.2,15-19,5.407843137,540.7843137
269,District of Columbia,2017,19.8,15-19,13.16862745,1316.862745
270,Florida,1988,51.1,15-19,15.066,1506.6
271,Florida,1989,48.775,15-19,14.3855,1438.55
272,Florida,1990,46.45,15-19,13.705,1370.5
273,Florida,1991,44.125,15-19,13.0245,1302.45
274,Florida,1992,41.8,15-19,12.344,1234.4
275,Florida,1993,41.55,15-19,13.492,1349.2
276,Florida,1994,41.3,15-19,14.64,1464
277,Florida,1995,41.05,15-19,15.788,1578.8
278,Florida,1996,40.8,15-19,16.936,1693.6
279,Florida,1997,39.025,15-19,16.1355,1613.55
280,Florida,1998,37.25,15-19,15.335,1533.5
281,Florida,1999,35.475,15-19,14.5345,1453.45
282,Florida,2000,33.7,15-19,13.09411765,1309.411765
283,Florida,2001,31.9,15-19,12.13647059,1213.647059
284,Florida,2002,30.1,15-19,11.17882353,1117.882353
285,Florida,2003,28.3,15-19,10.22117647,1022.117647
286,Florida,2004,26.5,15-19,9.263529412,926.3529412
287,Florida,2005,24.7,15-19,8.305882353,830.5882353
288,Florida,2006,24.3,15-19,8.105882353,810.5882353
289,Florida,2007,24.4,15-19,8.419607843,841.9607843
290,Florida,2008,23.1,15-19,7.366666667,736.6666667
291,Florida,2009,21.7,15-19,7.425490196,742.5490196
292,Florida,2010,20.2,15-19,7.121568627,712.1568627
293,Florida,2011,18.6,15-19,6.768627451,676.8627451
294,Florida,2012,16.5,15-19,6.390196078,639.0196078
295,Florida,2013,14.8,15-19,5.803921569,580.3921569
296,Florida,2014,13.3,15-19,5.243137255,524.3137255
297,Florida,2015,11.7,15-19,4.437254902,443.7254902
298,Florida,2016,10.6,15-19,3.807843137,380.7843137
299,Florida,2017,9.1,15-19,2.468627451,246.8627451
300,Georgia,1988,35.7,15-19,-0.334,-33.4
301,Georgia,1989,35.225,15-19,0.8355,83.55
302,Georgia,1990,34.75,15-19,2.005,200.5
303,Georgia,1991,34.275,15-19,3.1745,317.45
304,Georgia,1992,33.8,15-19,4.344,434.4
305,Georgia,1993,31.7,15-19,3.642,364.2
306,Georgia,1994,29.6,15-19,2.94,294
307,Georgia,1995,27.5,15-19,2.238,223.8
308,Georgia,1996,25.4,15-19,1.536,153.6
309,Georgia,1997,23.625,15-19,0.7355,73.55
310,Georgia,1998,21.85,15-19,-0.065,-6.5
311,Georgia,1999,20.075,15-19,-0.8655,-86.55
312,Georgia,2000,18.3,15-19,-2.305882353,-230.5882353
313,Georgia,2001,17.6,15-19,-2.163529412,-216.3529412
314,Georgia,2002,16.9,15-19,-2.021176471,-202.1176471
315,Georgia,2003,16.2,15-19,-1.878823529,-187.8823529
316,Georgia,2004,15.5,15-19,-1.736470588,-173.6470588
317,Georgia,2005,14.8,15-19,-1.594117647,-159.4117647
318,Georgia,2006,14.1,15-19,-2.094117647,-209.4117647
319,Georgia,2007,15,15-19,-0.980392157,-98.03921569
320,Georgia,2008,16.5,15-19,0.766666667,76.66666667
321,Georgia,2009,15,15-19,0.725490196,72.54901961
322,Georgia,2010,13.3,15-19,0.221568627,22.15686275
323,Georgia,2011,12.6,15-19,0.768627451,76.8627451
324,Georgia,2012,11.3,15-19,1.190196078,119.0196078
325,Georgia,2013,10,15-19,1.003921569,100.3921569
326,Georgia,2014,9,15-19,0.943137255,94.31372549
327,Georgia,2015,8.2,15-19,0.937254902,93.7254902
328,Georgia,2016,7.9,15-19,1.107843137,110.7843137
329,Georgia,2017,7.4,15-19,0.768627451,76.8627451
330,Hawaii,1988,65.9,15-19,29.866,2986.6
331,Hawaii,1989,66.425,15-19,32.0355,3203.55
332,Hawaii,1990,66.95,15-19,34.205,3420.5
333,Hawaii,1991,67.475,15-19,36.3745,3637.45
334,Hawaii,1992,68,15-19,38.544,3854.4
335,Hawaii,1993,61,15-19,32.942,3294.2
336,Hawaii,1994,54,15-19,27.34,2734
337,Hawaii,1995,47,15-19,21.738,2173.8
338,Hawaii,1996,40,15-19,16.136,1613.6
339,Hawaii,1997,38.575,15-19,15.6855,1568.55
340,Hawaii,1998,37.15,15-19,15.235,1523.5
341,Hawaii,1999,35.725,15-19,14.7845,1478.45
342,Hawaii,2000,34.3,15-19,13.69411765,1369.411765
343,Hawaii,2001,32.46,15-19,12.69647059,1269.647059
344,Hawaii,2002,30.62,15-19,11.69882353,1169.882353
345,Hawaii,2003,28.78,15-19,10.70117647,1070.117647
346,Hawaii,2004,26.94,15-19,9.703529412,970.3529412
347,Hawaii,2005,25.1,15-19,8.705882353,870.5882353
348,Hawaii,2006,26.5,15-19,10.30588235,1030.588235
349,Hawaii,2007,26.7,15-19,10.71960784,1071.960784
350,Hawaii,2008,27.2,15-19,11.46666667,1146.666667
351,Hawaii,2009,23.8,15-19,9.525490196,952.5490196
352,Hawaii,2010,23.9,15-19,10.82156863,1082.156863
353,Hawaii,2011,23,15-19,11.16862745,1116.862745
354,Hawaii,2012,18.3,15-19,8.190196078,819.0196078
355,Hawaii,2013,13.2,15-19,4.203921569,420.3921569
356,Hawaii,2014,11.4,15-19,3.343137255,334.3137255
357,Hawaii,2015,9.5,15-19,2.237254902,223.7254902
358,Hawaii,2016,8.4,15-19,1.607843137,160.7843137
359,Hawaii,2017,8.3,15-19,1.668627451,166.8627451
360,Idaho,1988,17.7,15-19,-18.334,-1833.4
361,Idaho,1989,16.775,15-19,-17.6145,-1761.45
362,Idaho,1990,15.85,15-19,-16.895,-1689.5
363,Idaho,1991,14.925,15-19,-16.1755,-1617.55
364,Idaho,1992,14,15-19,-15.456,-1545.6
365,Idaho,1993,13.5,15-19,-14.558,-1455.8
366,Idaho,1994,13,15-19,-13.66,-1366
367,Idaho,1995,12.5,15-19,-12.762,-1276.2
368,Idaho,1996,12,15-19,-11.864,-1186.4
369,Idaho,1997,11.475,15-19,-11.4145,-1141.45
370,Idaho,1998,10.95,15-19,-10.965,-1096.5
371,Idaho,1999,10.425,15-19,-10.5155,-1051.55
372,Idaho,2000,9.9,15-19,-10.70588235,-1070.588235
373,Idaho,2001,9.66,15-19,-10.10352941,-1010.352941
374,Idaho,2002,9.42,15-19,-9.501176471,-950.1176471
375,Idaho,2003,9.18,15-19,-8.898823529,-889.8823529
376,Idaho,2004,8.94,15-19,-8.296470588,-829.6470588
377,Idaho,2005,8.7,15-19,-7.694117647,-769.4117647
378,Idaho,2006,9.9,15-19,-6.294117647,-629.4117647
379,Idaho,2007,10.2,15-19,-5.780392157,-578.0392157
380,Idaho,2008,8.4,15-19,-7.333333333,-733.3333333
381,Idaho,2009,7.5,15-19,-6.774509804,-677.4509804
382,Idaho,2010,7,15-19,-6.078431373,-607.8431373
383,Idaho,2011,6,15-19,-5.831372549,-583.1372549
384,Idaho,2012,6.1,15-19,-4.009803922,-400.9803922
385,Idaho,2013,4.2,15-19,-4.796078431,-479.6078431
386,Idaho,2014,4.1,15-19,-3.956862745,-395.6862745
387,Idaho,2015,4,15-19,-3.262745098,-326.2745098
388,Idaho,2016,3.8,15-19,-2.992156863,-299.2156863
389,Idaho,2017,3.4,15-19,-3.231372549,-323.1372549
390,Illinois,1988,42.2,15-19,6.166,616.6
