,STATE,YEAR,Abortion Rate per 1000 People,AGE,Abortion Rate per 1000 People (Adjusted),"Abortion Rate per 100,000 People (Adjusted)"
778,Missouri,2016,5.2,15-19,-1.592156863,-159.2156863
779,Missouri,2017,5.3,15-19,-1.331372549,-133.1372549
780,Montana,1988,23.9,15-19,-12.134,-1213.4
781,Montana,1989,23.8,15-19,-10.5895,-1058.95
782,Montana,1990,23.7,15-19,-9.045,-904.5
783,Montana,1991,23.6,15-19,-7.5005,-750.05
784,Montana,1992,23.5,15-19,-5.956,-595.6
785,Montana,1993,21.95,15-19,-6.108,-610.8
786,Montana,1994,20.4,15-19,-6.26,-626
787,Montana,1995,18.85,15-19,-6.412,-641.2
788,Montana,1996,17.3,15-19,-6.564,-656.4
789,Montana,1997,16.6,15-19,-6.2895,-628.95
790,Montana,1998,15.9,15-19,-6.015,-601.5
791,Montana,1999,15.2,15-19,-5.7405,-574.05
792,Montana,2000,14.5,15-19,-6.105882353,-610.5882353
793,Montana,2001,14.16,15-19,-5.603529412,-560.3529412
794,Montana,2002,13.82,15-19,-5.101176471,-510.1176471
795,Montana,2003,13.48,15-19,-4.598823529,-459.8823529
796,Montana,2004,13.14,15-19,-4.096470588,-409.6470588
797,Montana,2005,12.8,15-19,-3.594117647,-359.4117647
798,Montana,2006,11.4,15-19,-4.794117647,-479.4117647
799,Montana,2007,11.6,15-19,-4.380392157,-438.0392157
800,Montana,2008,11.3,15-19,-4.433333333,-443.3333333
801,Montana,2009,10.8,15-19,-3.474509804,-347.4509804
802,Montana,2010,9.7,15-19,-3.378431373,-337.8431373
803,Montana,2011,10.4,15-19,-1.431372549,-143.1372549
804,Montana,2012,8.6,15-19,-1.509803922,-150.9803922
805,Montana,2013,7,15-19,-1.996078431,-199.6078431
806,Montana,2014,6.8,15-19,-1.256862745,-125.6862745
807,Montana,2015,6.3,15-19,-0.962745098,-96.2745098
808,Montana,2016,5.3,15-19,-1.492156863,-149.2156863
809,Montana,2017,5.9,15-19,-0.731372549,-73.1372549
810,Nebraska,1988,27.9,15-19,-8.134,-813.4
811,Nebraska,1989,25.8,15-19,-8.5895,-858.95
812,Nebraska,1990,23.7,15-19,-9.045,-904.5
813,Nebraska,1991,21.6,15-19,-9.5005,-950.05
814,Nebraska,1992,19.5,15-19,-9.956,-995.6
815,Nebraska,1993,18.075,15-19,-9.983,-998.3
816,Nebraska,1994,16.65,15-19,-10.01,-1001
817,Nebraska,1995,15.225,15-19,-10.037,-1003.7
818,Nebraska,1996,13.8,15-19,-10.064,-1006.4
819,Nebraska,1997,13.425,15-19,-9.4645,-946.45
820,Nebraska,1998,13.05,15-19,-8.865,-886.5
821,Nebraska,1999,12.675,15-19,-8.2655,-826.55
822,Nebraska,2000,12.3,15-19,-8.305882353,-830.5882353
823,Nebraska,2001,11.38,15-19,-8.383529412,-838.3529412
824,Nebraska,2002,10.46,15-19,-8.461176471,-846.1176471
825,Nebraska,2003,9.54,15-19,-8.538823529,-853.8823529
826,Nebraska,2004,8.62,15-19,-8.616470588,-861.6470588
827,Nebraska,2005,7.7,15-19,-8.694117647,-869.4117647
828,Nebraska,2006,6.4,15-19,-9.794117647,-979.4117647
829,Nebraska,2007,6.1,15-19,-9.880392157,-988.0392157
830,Nebraska,2008,6.9,15-19,-8.833333333,-883.3333333
831,Nebraska,2009,6.6,15-19,-7.674509804,-767.4509804
832,Nebraska,2010,5.3,15-19,-7.778431373,-777.8431373
833,Nebraska,2011,6.1,15-19,-5.731372549,-573.1372549
834,Nebraska,2012,4.8,15-19,-5.309803922,-530.9803922
835,Nebraska,2013,4.6,15-19,-4.396078431,-439.6078431
836,Nebraska,2014,3.7,15-19,-4.356862745,-435.6862745
837,Nebraska,2015,3.5,15-19,-3.762745098,-376.2745098
838,Nebraska,2016,3,15-19,-3.792156863,-379.2156863
839,Nebraska,2017,3.2,15-19,-3.431372549,-343.1372549
840,Nevada,1988,56.9,15-19,20.866,2086.6
841,Nevada,1989,55.925,15-19,21.5355,2153.55
842,Nevada,1990,54.95,15-19,22.205,2220.5
843,Nevada,1991,53.975,15-19,22.8745,2287.45
844,Nevada,1992,53,15-19,23.544,2354.4
845,Nevada,1993,52.35,15-19,24.292,2429.2
846,Nevada,1994,51.7,15-19,25.04,2504
847,Nevada,1995,51.05,15-19,25.788,2578.8
848,Nevada,1996,50.4,15-19,26.536,2653.6
849,Nevada,1997,47,15-19,24.1105,2411.05
850,Nevada,1998,43.6,15-19,21.685,2168.5
851,Nevada,1999,40.2,15-19,19.2595,1925.95
852,Nevada,2000,36.8,15-19,16.19411765,1619.411765
853,Nevada,2001,35.16,15-19,15.39647059,1539.647059
854,Nevada,2002,33.52,15-19,14.59882353,1459.882353
855,Nevada,2003,31.88,15-19,13.80117647,1380.117647
856,Nevada,2004,30.24,15-19,13.00352941,1300.352941
857,Nevada,2005,28.6,15-19,12.20588235,1220.588235
858,Nevada,2006,26.9,15-19,10.70588235,1070.588235
859,Nevada,2007,26.3,15-19,10.31960784,1031.960784
860,Nevada,2008,23.5,15-19,7.766666667,776.6666667
861,Nevada,2009,21.9,15-19,7.625490196,762.5490196
862,Nevada,2010,20.2,15-19,7.121568627,712.1568627
863,Nevada,2011,16.9,15-19,5.068627451,506.8627451
864,Nevada,2012,14.4,15-19,4.290196078,429.0196078
865,Nevada,2013,11.5,15-19,2.503921569,250.3921569
866,Nevada,2014,12,15-19,3.943137255,394.3137255
867,Nevada,2015,11,15-19,3.737254902,373.7254902
868,Nevada,2016,10.2,15-19,3.407843137,340.7843137
869,Nevada,2017,9,15-19,2.368627451,236.8627451
870,New Hampshire,1988,44.5,15-19,8.466,846.6
871,New Hampshire,1989,38.825,15-19,4.4355,443.55
872,New Hampshire,1990,33.15,15-19,0.405,40.5
873,New Hampshire,1991,27.475,15-19,-3.6255,-362.55
874,New Hampshire,1992,21.8,15-19,-7.656,-765.6
875,New Hampshire,1993,21.65,15-19,-6.408,-640.8
876,New Hampshire,1994,21.5,15-19,-5.16,-516
877,New Hampshire,1995,21.35,15-19,-3.912,-391.2
878,New Hampshire,1996,21.2,15-19,-2.664,-266.4
879,New Hampshire,1997,20.2,15-19,-2.6895,-268.95
880,New Hampshire,1998,19.2,15-19,-2.715,-271.5
881,New Hampshire,1999,18.2,15-19,-2.7405,-274.05
882,New Hampshire,2000,17.2,15-19,-3.405882353,-340.5882353
883,New Hampshire,2001,15.9,15-19,-3.863529412,-386.3529412
884,New Hampshire,2002,14.6,15-19,-4.321176471,-432.1176471
885,New Hampshire,2003,13.3,15-19,-4.778823529,-477.8823529
886,New Hampshire,2004,12,15-19,-5.236470588,-523.6470588
887,New Hampshire,2005,10.7,15-19,-5.694117647,-569.4117647
888,New Hampshire,2006,10.5,15-19,-5.694117647,-569.4117647
889,New Hampshire,2007,10.6,15-19,-5.380392157,-538.0392157
890,New Hampshire,2008,9.5,15-19,-6.233333333,-623.3333333
891,New Hampshire,2009,9,15-19,-5.274509804,-527.4509804
892,New Hampshire,2010,8.5,15-19,-4.578431373,-457.8431373
893,New Hampshire,2011,8.6,15-19,-3.231372549,-323.1372549
894,New Hampshire,2012,7.5,15-19,-2.609803922,-260.9803922
895,New Hampshire,2013,6.5,15-19,-2.496078431,-249.6078431
896,New Hampshire,2014,6.4,15-19,-1.656862745,-165.6862745
897,New Hampshire,2015,5.7,15-19,-1.562745098,-156.2745098
898,New Hampshire,2016,5.8,15-19,-0.992156863,-99.21568627
899,New Hampshire,2017,5.3,15-19,-1.331372549,-133.1372549
900,New Jersey,1988,57,15-19,20.966,2096.6
901,New Jersey,1989,54.35,15-19,19.9605,1996.05
902,New Jersey,1990,51.7,15-19,18.955,1895.5
903,New Jersey,1991,49.05,15-19,17.9495,1794.95
904,New Jersey,1992,46.4,15-19,16.944,1694.4
905,New Jersey,1993,47.2,15-19,19.142,1914.2
906,New Jersey,1994,48,15-19,21.34,2134
907,New Jersey,1995,48.8,15-19,23.538,2353.8
908,New Jersey,1996,49.6,15-19,25.736,2573.6
909,New Jersey,1997,49.2,15-19,26.3105,2631.05
910,New Jersey,1998,48.8,15-19,26.885,2688.5
911,New Jersey,1999,48.4,15-19,27.4595,2745.95
912,New Jersey,2000,48,15-19,27.39411765,2739.411765
913,New Jersey,2001,46.02,15-19,26.25647059,2625.647059
914,New Jersey,2002,44.04,15-19,25.11882353,2511.882353
915,New Jersey,2003,42.06,15-19,23.98117647,2398.117647
916,New Jersey,2004,40.08,15-19,22.84352941,2284.352941
917,New Jersey,2005,38.1,15-19,21.70588235,2170.588235
918,New Jersey,2006,35.4,15-19,19.20588235,1920.588235
919,New Jersey,2007,28.7,15-19,12.71960784,1271.960784
920,New Jersey,2008,30.3,15-19,14.56666667,1456.666667
921,New Jersey,2009,25,15-19,10.7254902,1072.54902
922,New Jersey,2010,24.6,15-19,11.52156863,1152.156863
923,New Jersey,2011,22.3,15-19,10.46862745,1046.862745
924,New Jersey,2012,16.4,15-19,6.290196078,629.0196078
925,New Jersey,2013,16.5,15-19,7.503921569,750.3921569
926,New Jersey,2014,14.6,15-19,6.543137255,654.3137255
927,New Jersey,2015,16.1,15-19,8.837254902,883.7254902
928,New Jersey,2016,16.3,15-19,9.507843137,950.7843137
929,New Jersey,2017,14.9,15-19,8.268627451,826.8627451
930,New Mexico,1988,34.3,15-19,-1.734,-173.4
931,New Mexico,1989,33.125,15-19,-1.2645,-126.45
932,New Mexico,1990,31.95,15-19,-0.795,-79.5
933,New Mexico,1991,30.775,15-19,-0.3255,-32.55
934,New Mexico,1992,29.6,15-19,0.144,14.4
935,New Mexico,1993,27.7,15-19,-0.358,-35.8
936,New Mexico,1994,25.8,15-19,-0.86,-86
937,New Mexico,1995,23.9,15-19,-1.362,-136.2
938,New Mexico,1996,22,15-19,-1.864,-186.4
939,New Mexico,1997,21.975,15-19,-0.9145,-91.45
940,New Mexico,1998,21.95,15-19,0.035,3.5
941,New Mexico,1999,21.925,15-19,0.9845,98.45
942,New Mexico,2000,21.9,15-19,1.294117647,129.4117647
943,New Mexico,2001,21.04,15-19,1.276470588,127.6470588
944,New Mexico,2002,20.18,15-19,1.258823529,125.8823529
945,New Mexico,2003,19.32,15-19,1.241176471,124.1176471
946,New Mexico,2004,18.46,15-19,1.223529412,122.3529412
947,New Mexico,2005,17.6,15-19,1.205882353,120.5882353
948,New Mexico,2006,18.8,15-19,2.605882353,260.5882353
949,New Mexico,2007,19.4,15-19,3.419607843,341.9607843
950,New Mexico,2008,17.4,15-19,1.666666667,166.6666667
951,New Mexico,2009,16.2,15-19,1.925490196,192.5490196
952,New Mexico,2010,15,15-19,1.921568627,192.1568627
953,New Mexico,2011,12.4,15-19,0.568627451,56.8627451
954,New Mexico,2012,11.1,15-19,0.990196078,99.01960784
955,New Mexico,2013,9,15-19,0.003921569,0.392156863
956,New Mexico,2014,8.3,15-19,0.243137255,24.31372549
957,New Mexico,2015,8.3,15-19,1.037254902,103.7254902
958,New Mexico,2016,8.3,15-19,1.507843137,150.7843137
959,New Mexico,2017,7.2,15-19,0.568627451,56.8627451
960,New York,1988,59.3,15-19,23.266,2326.6
961,New York,1989,59.125,15-19,24.7355,2473.55
962,New York,1990,58.95,15-19,26.205,2620.5
963,New York,1991,58.775,15-19,27.6745,2767.45
964,New York,1992,58.6,15-19,29.144,2914.4
965,New York,1993,56.525,15-19,28.467,2846.7
966,New York,1994,54.45,15-19,27.79,2779
967,New York,1995,52.375,15-19,27.113,2711.3
968,New York,1996,50.3,15-19,26.436,2643.6
969,New York,1997,49.225,15-19,26.3355,2633.55
970,New York,1998,48.15,15-19,26.235,2623.5
971,New York,1999,47.075,15-19,26.1345,2613.45
972,New York,2000,46,15-19,25.39411765,2539.411765
973,New York,2001,44.9,15-19,25.13647059,2513.647059
974,New York,2002,43.8,15-19,24.87882353,2487.882353
975,New York,2003,42.7,15-19,24.62117647,2462.117647
976,New York,2004,41.6,15-19,24.36352941,2436.352941
977,New York,2005,40.5,15-19,24.10588235,2410.588235
978,New York,2006,39.2,15-19,23.00588235,2300.588235
979,New York,2007,37.6,15-19,21.61960784,2161.960784
980,New York,2008,37.4,15-19,21.66666667,2166.666667
981,New York,2009,35.5,15-19,21.2254902,2122.54902
982,New York,2010,32.7,15-19,19.62156863,1962.156863
983,New York,2011,30.2,15-19,18.36862745,1836.862745
984,New York,2012,26.1,15-19,15.99019608,1599.019608
985,New York,2013,22.2,15-19,13.20392157,1320.392157
986,New York,2014,20.6,15-19,12.54313725,1254.313725
987,New York,2015,18.7,15-19,11.4372549,1143.72549
988,New York,2016,17.2,15-19,10.40784314,1040.784314
989,New York,2017,16.2,15-19,9.568627451,956.8627451
990,North Carolina,1988,43.6,15-19,7.566,756.6
991,North Carolina,1989,41.125,15-19,6.7355,673.55
992,North Carolina,1990,38.65,15-19,5.905,590.5
993,North Carolina,1991,36.175,15-19,5.0745,507.45
994,North Carolina,1992,33.7,15-19,4.244,424.4
995,North Carolina,1993,31.6,15-19,3.542,354.2
996,North Carolina,1994,29.5,15-19,2.84,284
997,North Carolina,1995,27.4,15-19,2.138,213.8
998,North Carolina,1996,25.3,15-19,1.436,143.6
999,North Carolina,1997,24.525,15-19,1.6355,163.55
1000,North Carolina,1998,23.75,15-19,1.835,183.5
1001,North Carolina,1999,22.975,15-19,2.0345,203.45
1002,North Carolina,2000,22.2,15-19,1.594117647,159.4117647
1003,North Carolina,2001,20.86,15-19,1.096470588,109.6470588
1004,North Carolina,2002,19.52,15-19,0.598823529,59.88235294
1005,North Carolina,2003,18.18,15-19,0.101176471,10.11764706
1006,North Carolina,2004,16.84,15-19,-0.396470588,-39.64705882
1007,North Carolina,2005,15.5,15-19,-0.894117647,-89.41176471
1008,North Carolina,2006,15.3,15-19,-0.894117647,-89.41176471
1009,North Carolina,2007,15.4,15-19,-0.580392157,-58.03921569
1010,North Carolina,2008,14.3,15-19,-1.433333333,-143.3333333
1011,North Carolina,2009,13.8,15-19,-0.474509804,-47.45098039
1012,North Carolina,2010,12.2,15-19,-0.878431373,-87.84313725
1013,North Carolina,2011,10.1,15-19,-1.731372549,-173.1372549
1014,North Carolina,2012,9.7,15-19,-0.409803922,-40.98039216
1015,North Carolina,2013,9.3,15-19,0.303921569,30.39215686
1016,North Carolina,2014,8.1,15-19,0.043137255,4.31372549
1017,North Carolina,2015,7.3,15-19,0.037254902,3.725490196
1018,North Carolina,2016,6.2,15-19,-0.592156863,-59.21568627
1019,North Carolina,2017,6.7,15-19,0.068627451,6.862745098
1020,North Dakota,1988,18.8,15-19,-17.234,-1723.4
1021,North Dakota,1989,17.425,15-19,-16.9645,-1696.45
1022,North Dakota,1990,16.05,15-19,-16.695,-1669.5
1023,North Dakota,1991,14.675,15-19,-16.4255,-1642.55
1024,North Dakota,1992,13.3,15-19,-16.156,-1615.6
1025,North Dakota,1993,12.65,15-19,-15.408,-1540.8
1026,North Dakota,1994,12,15-19,-14.66,-1466
1027,North Dakota,1995,11.35,15-19,-13.912,-1391.2
1028,North Dakota,1996,10.7,15-19,-13.164,-1316.4
1029,North Dakota,1997,10,15-19,-12.8895,-1288.95
1030,North Dakota,1998,9.3,15-19,-12.615,-1261.5
1031,North Dakota,1999,8.6,15-19,-12.3405,-1234.05
1032,North Dakota,2000,7.9,15-19,-12.70588235,-1270.588235
1033,North Dakota,2001,7.82,15-19,-11.94352941,-1194.352941
1034,North Dakota,2002,7.74,15-19,-11.18117647,-1118.117647
1035,North Dakota,2003,7.66,15-19,-10.41882353,-1041.882353
1036,North Dakota,2004,7.58,15-19,-9.656470588,-965.6470588
1037,North Dakota,2005,7.5,15-19,-8.894117647,-889.4117647
1038,North Dakota,2006,6.4,15-19,-9.794117647,-979.4117647
1039,North Dakota,2007,6.7,15-19,-9.280392157,-928.0392157
1040,North Dakota,2008,7.7,15-19,-8.033333333,-803.3333333
1041,North Dakota,2009,7.1,15-19,-7.174509804,-717.4509804
1042,North Dakota,2010,6.6,15-19,-6.478431373,-647.8431373
1043,North Dakota,2011,5.7,15-19,-6.131372549,-613.1372549
1044,North Dakota,2012,5.4,15-19,-4.709803922,-470.9803922
1045,North Dakota,2013,4.4,15-19,-4.596078431,-459.6078431
1046,North Dakota,2014,4.4,15-19,-3.656862745,-365.6862745
1047,North Dakota,2015,3.9,15-19,-3.362745098,-336.2745098
1048,North Dakota,2016,4,15-19,-2.792156863,-279.2156863
1049,North Dakota,2017,4.3,15-19,-2.331372549,-233.1372549
1050,Ohio,1988,30.3,15-19,-5.734,-573.4
1051,Ohio,1989,28.075,15-19,-6.3145,-631.45
1052,Ohio,1990,25.85,15-19,-6.895,-689.5
1053,Ohio,1991,23.625,15-19,-7.4755,-747.55
1054,Ohio,1992,21.4,15-19,-8.056,-805.6
1055,Ohio,1993,20.675,15-19,-7.383,-738.3
1056,Ohio,1994,19.95,15-19,-6.71,-671
1057,Ohio,1995,19.225,15-19,-6.037,-603.7
1058,Ohio,1996,18.5,15-19,-5.364,-536.4
1059,Ohio,1997,18.15,15-19,-4.7395,-473.95
1060,Ohio,1998,17.8,15-19,-4.115,-411.5
1061,Ohio,1999,17.45,15-19,-3.4905,-349.05
1062,Ohio,2000,17.1,15-19,-3.505882353,-350.5882353
1063,Ohio,2001,16.5,15-19,-3.263529412,-326.3529412
1064,Ohio,2002,15.9,15-19,-3.021176471,-302.1176471
1065,Ohio,2003,15.3,15-19,-2.778823529,-277.8823529
1066,Ohio,2004,14.7,15-19,-2.536470588,-253.6470588
1067,Ohio,2005,14.1,15-19,-2.294117647,-229.4117647
1068,Ohio,2006,13.8,15-19,-2.394117647,-239.4117647
1069,Ohio,2007,14,15-19,-1.980392157,-198.0392157
1070,Ohio,2008,13.8,15-19,-1.933333333,-193.3333333
1071,Ohio,2009,12.6,15-19,-1.674509804,-167.4509804
1072,Ohio,2010,11.7,15-19,-1.378431373,-137.8431373
1073,Ohio,2011,10.1,15-19,-1.731372549,-173.1372549
1074,Ohio,2012,9,15-19,-1.109803922,-110.9803922
1075,Ohio,2013,7.8,15-19,-1.196078431,-119.6078431
1076,Ohio,2014,6.6,15-19,-1.456862745,-145.6862745
1077,Ohio,2015,5.9,15-19,-1.362745098,-136.2745098
1078,Ohio,2016,5.3,15-19,-1.492156863,-149.2156863
1079,Ohio,2017,5.3,15-19,-1.331372549,-133.1372549
1080,Oklahoma,1988,27.3,15-19,-8.734,-873.4
1081,Oklahoma,1989,24.175,15-19,-10.2145,-1021.45
1082,Oklahoma,1990,21.05,15-19,-11.695,-1169.5
1083,Oklahoma,1991,17.925,15-19,-13.1755,-1317.55
1084,Oklahoma,1992,14.8,15-19,-14.656,-1465.6
1085,Oklahoma,1993,14.35,15-19,-13.708,-1370.8
1086,Oklahoma,1994,13.9,15-19,-12.76,-1276
1087,Oklahoma,1995,13.45,15-19,-11.812,-1181.2
1088,Oklahoma,1996,13,15-19,-10.864,-1086.4
1089,Oklahoma,1997,12.85,15-19,-10.0395,-1003.95
1090,Oklahoma,1998,12.7,15-19,-9.215,-921.5
1091,Oklahoma,1999,12.55,15-19,-8.3905,-839.05
1092,Oklahoma,2000,12.4,15-19,-8.205882353,-820.5882353
1093,Oklahoma,2001,11.86,15-19,-7.903529412,-790.3529412
1094,Oklahoma,2002,11.32,15-19,-7.601176471,-760.1176471
1095,Oklahoma,2003,10.78,15-19,-7.298823529,-729.8823529
1096,Oklahoma,2004,10.24,15-19,-6.996470588,-699.6470588
1097,Oklahoma,2005,9.7,15-19,-6.694117647,-669.4117647
1098,Oklahoma,2006,9.2,15-19,-6.994117647,-699.4117647
1099,Oklahoma,2007,9.5,15-19,-6.480392157,-648.0392157
1100,Oklahoma,2008,9.3,15-19,-6.433333333,-643.3333333
1101,Oklahoma,2009,9.1,15-19,-5.174509804,-517.4509804
1102,Oklahoma,2010,7.7,15-19,-5.378431373,-537.8431373
1103,Oklahoma,2011,6.6,15-19,-5.231372549,-523.1372549
1104,Oklahoma,2012,6.7,15-19,-3.409803922,-340.9803922
1105,Oklahoma,2013,5.7,15-19,-3.296078431,-329.6078431
1106,Oklahoma,2014,5.4,15-19,-2.656862745,-265.6862745
1107,Oklahoma,2015,4.2,15-19,-3.062745098,-306.2745098
1108,Oklahoma,2016,3.4,15-19,-3.392156863,-339.2156863
1109,Oklahoma,2017,3.8,15-19,-2.831372549,-283.1372549
1110,Oregon,1988,42.5,15-19,6.466,646.6
1111,Oregon,1989,39.85,15-19,5.4605,546.05
1112,Oregon,1990,37.2,15-19,4.455,445.5
1113,Oregon,1991,34.55,15-19,3.4495,344.95
1114,Oregon,1992,31.9,15-19,2.444,244.4
1115,Oregon,1993,30.525,15-19,2.467,246.7
1116,Oregon,1994,29.15,15-19,2.49,249
1117,Oregon,1995,27.775,15-19,2.513,251.3
1118,Oregon,1996,26.4,15-19,2.536,253.6
1119,Oregon,1997,26,15-19,3.1105,311.05
1120,Oregon,1998,25.6,15-19,3.685,368.5
1121,Oregon,1999,25.2,15-19,4.2595,425.95
1122,Oregon,2000,24.8,15-19,4.194117647,419.4117647
1123,Oregon,2001,23.02,15-19,3.256470588,325.6470588
1124,Oregon,2002,21.24,15-19,2.318823529,231.8823529
1125,Oregon,2003,19.46,15-19,1.381176471,138.1176471
1126,Oregon,2004,17.68,15-19,0.443529412,44.35294118
1127,Oregon,2005,15.9,15-19,-0.494117647,-49.41176471
1128,Oregon,2006,16.7,15-19,0.505882353,50.58823529
1129,Oregon,2007,16.8,15-19,0.819607843,81.96078431
1130,Oregon,2008,16.1,15-19,0.366666667,36.66666667
1131,Oregon,2009,14.2,15-19,-0.074509804,-7.450980392
1132,Oregon,2010,12,15-19,-1.078431373,-107.8431373
1133,Oregon,2011,11.3,15-19,-0.531372549,-53.1372549
1134,Oregon,2012,9.7,15-19,-0.409803922,-40.98039216
1135,Oregon,2013,8.6,15-19,-0.396078431,-39.60784314
1136,Oregon,2014,8,15-19,-0.056862745,-5.68627451
1137,Oregon,2015,7.9,15-19,0.637254902,63.7254902
1138,Oregon,2016,7.4,15-19,0.607843137,60.78431373
1139,Oregon,2017,7.2,15-19,0.568627451,56.8627451
1140,Pennsylvania,1988,33,15-19,-3.034,-303.4
1141,Pennsylvania,1989,31.525,15-19,-2.8645,-286.45
1142,Pennsylvania,1990,30.05,15-19,-2.695,-269.5
1143,Pennsylvania,1991,28.575,15-19,-2.5255,-252.55
1144,Pennsylvania,1992,27.1,15-19,-2.356,-235.6
1145,Pennsylvania,1993,25.25,15-19,-2.808,-280.8
1146,Pennsylvania,1994,23.4,15-19,-3.26,-326
1147,Pennsylvania,1995,21.55,15-19,-3.712,-371.2
1148,Pennsylvania,1996,19.7,15-19,-4.164,-416.4
1149,Pennsylvania,1997,19.1,15-19,-3.7895,-378.95
1150,Pennsylvania,1998,18.5,15-19,-3.415,-341.5
1151,Pennsylvania,1999,17.9,15-19,-3.0405,-304.05
1152,Pennsylvania,2000,17.3,15-19,-3.305882353,-330.5882353
1153,Pennsylvania,2001,16.68,15-19,-3.083529412,-308.3529412
1154,Pennsylvania,2002,16.06,15-19,-2.861176471,-286.1176471
1155,Pennsylvania,2003,15.44,15-19,-2.638823529,-263.8823529
1156,Pennsylvania,2004,14.82,15-19,-2.416470588,-241.6470588
1157,Pennsylvania,2005,14.2,15-19,-2.194117647,-219.4117647
