,STATE,YEAR,Birth Rate per 1000 People,AGE,Birth Rate per 1000 People (Adjusted),"Birth Rate per 100,000 People (Adjusted)"
0,Alabama,1988,63.3,15-19,11.86078431,1186.078431
1,Alabama,1989,65.475,15-19,12.54313725,1254.313725
2,Alabama,1990,67.65,15-19,13.2254902,1322.54902
3,Alabama,1991,69.825,15-19,13.90784314,1390.784314
4,Alabama,1992,72,15-19,14.59019608,1459.019608
5,Alabama,1993,70.775,15-19,15.01176471,1501.176471
6,Alabama,1994,69.55,15-19,15.43333333,1543.333333
7,Alabama,1995,68.325,15-19,15.85490196,1585.490196
8,Alabama,1996,67.1,15-19,16.27647059,1627.647059
9,Alabama,1997,65.475,15-19,15.91764706,1591.764706
10,Alabama,1998,63.85,15-19,15.55882353,1555.882353
11,Alabama,1999,62.225,15-19,15.2,1520
12,Alabama,2000,60.6,15-19,14.84117647,1484.117647
13,Alabama,2001,58.1,15-19,13.76784314,1376.784314
14,Alabama,2002,55.6,15-19,12.6945098,1269.45098
15,Alabama,2003,53.1,15-19,11.62117647,1162.117647
16,Alabama,2004,50.6,15-19,10.54784314,1054.784314
17,Alabama,2005,48.1,15-19,9.474509804,947.4509804
18,Alabama,2006,51.8,15-19,11.46666667,1146.666667
19,Alabama,2007,52.1,15-19,11.06666667,1106.666667
20,Alabama,2008,50.5,15-19,10.42745098,1042.745098
21,Alabama,2009,48.3,15-19,10.40392157,1040.392157
22,Alabama,2010,44,15-19,9.649019608,964.9019608
23,Alabama,2011,41,15-19,9.517647059,951.7647059
24,Alabama,2012,39.1,15-19,9.405882353,940.5882353
25,Alabama,2013,34.2,15-19,7.423529412,742.3529412
26,Alabama,2014,32,15-19,7.421568627,742.1568627
27,Alabama,2015,30.2,15-19,7.435294118,743.5294118
28,Alabama,2016,28.4,15-19,7.601960784,760.1960784
29,Alabama,2017,27.1,15-19,7.849019608,784.9019608
30,Alaska,1988,55.6,15-19,4.160784314,416.0784314
31,Alaska,1989,58,15-19,5.068137255,506.8137255
32,Alaska,1990,60.4,15-19,5.975490196,597.5490196
33,Alaska,1991,62.8,15-19,6.882843137,688.2843137
34,Alaska,1992,65.2,15-19,7.790196078,779.0196078
35,Alaska,1993,61.6,15-19,5.836764706,583.6764706
36,Alaska,1994,58,15-19,3.883333333,388.3333333
37,Alaska,1995,54.4,15-19,1.929901961,192.9901961
38,Alaska,1996,50.8,15-19,-0.023529412,-2.352941176
39,Alaska,1997,50.325,15-19,0.767647059,76.76470588
40,Alaska,1998,49.85,15-19,1.558823529,155.8823529
41,Alaska,1999,49.375,15-19,2.35,235
42,Alaska,2000,48.9,15-19,3.141176471,314.1176471
43,Alaska,2001,47.1,15-19,2.767843137,276.7843137
44,Alaska,2002,45.3,15-19,2.394509804,239.4509804
45,Alaska,2003,43.5,15-19,2.021176471,202.1176471
46,Alaska,2004,41.7,15-19,1.647843137,164.7843137
47,Alaska,2005,39.9,15-19,1.274509804,127.4509804
48,Alaska,2006,41.8,15-19,1.466666667,146.6666667
49,Alaska,2007,42.9,15-19,1.866666667,186.6666667
50,Alaska,2008,44.2,15-19,4.12745098,412.745098
51,Alaska,2009,43.2,15-19,5.303921569,530.3921569
52,Alaska,2010,38.5,15-19,4.149019608,414.9019608
53,Alaska,2011,36.4,15-19,4.917647059,491.7647059
54,Alaska,2012,34.7,15-19,5.005882353,500.5882353
55,Alaska,2013,30.6,15-19,3.823529412,382.3529412
56,Alaska,2014,28.3,15-19,3.721568627,372.1568627
57,Alaska,2015,29.5,15-19,6.735294118,673.5294118
58,Alaska,2016,26,15-19,5.201960784,520.1960784
59,Alaska,2017,22,15-19,2.749019608,274.9019608
60,Arizona,1988,69.4,15-19,17.96078431,1796.078431
61,Arizona,1989,72.1,15-19,19.16813725,1916.813725
62,Arizona,1990,74.8,15-19,20.3754902,2037.54902
63,Arizona,1991,77.5,15-19,21.58284314,2158.284314
64,Arizona,1992,80.2,15-19,22.79019608,2279.019608
65,Arizona,1993,78.025,15-19,22.26176471,2226.176471
66,Arizona,1994,75.85,15-19,21.73333333,2173.333333
67,Arizona,1995,73.675,15-19,21.20490196,2120.490196
68,Arizona,1996,71.5,15-19,20.67647059,2067.647059
69,Arizona,1997,70.475,15-19,20.91764706,2091.764706
70,Arizona,1998,69.45,15-19,21.15882353,2115.882353
71,Arizona,1999,68.425,15-19,21.4,2140
72,Arizona,2000,67.4,15-19,21.64117647,2164.117647
73,Arizona,2001,65.66,15-19,21.32784314,2132.784314
74,Arizona,2002,63.92,15-19,21.0145098,2101.45098
75,Arizona,2003,62.18,15-19,20.70117647,2070.117647
76,Arizona,2004,60.44,15-19,20.38784314,2038.784314
77,Arizona,2005,58.7,15-19,20.0745098,2007.45098
78,Arizona,2006,61.2,15-19,20.86666667,2086.666667
79,Arizona,2007,59.6,15-19,18.56666667,1856.666667
80,Arizona,2008,54.5,15-19,14.42745098,1442.745098
81,Arizona,2009,48.6,15-19,10.70392157,1070.392157
82,Arizona,2010,42,15-19,7.649019608,764.9019608
83,Arizona,2011,38.2,15-19,6.717647059,671.7647059
84,Arizona,2012,37,15-19,7.305882353,730.5882353
85,Arizona,2013,33,15-19,6.223529412,622.3529412
86,Arizona,2014,29.9,15-19,5.321568627,532.1568627
87,Arizona,2015,26.3,15-19,3.535294118,353.5294118
88,Arizona,2016,23.5,15-19,2.701960784,270.1960784
89,Arizona,2017,21.9,15-19,2.649019608,264.9019608
90,Arkansas,1988,71.6,15-19,20.16078431,2016.078431
91,Arkansas,1989,72.4,15-19,19.46813725,1946.813725
92,Arkansas,1990,73.2,15-19,18.7754902,1877.54902
93,Arkansas,1991,74,15-19,18.08284314,1808.284314
94,Arkansas,1992,74.8,15-19,17.39019608,1739.019608
95,Arkansas,1993,74.475,15-19,18.71176471,1871.176471
96,Arkansas,1994,74.15,15-19,20.03333333,2003.333333
97,Arkansas,1995,73.825,15-19,21.35490196,2135.490196
98,Arkansas,1996,73.5,15-19,22.67647059,2267.647059
99,Arkansas,1997,71.625,15-19,22.06764706,2206.764706
100,Arkansas,1998,69.75,15-19,21.45882353,2145.882353
101,Arkansas,1999,67.875,15-19,20.85,2085
102,Arkansas,2000,66,15-19,20.24117647,2024.117647
103,Arkansas,2001,64.52,15-19,20.18784314,2018.784314
104,Arkansas,2002,63.04,15-19,20.1345098,2013.45098
105,Arkansas,2003,61.56,15-19,20.08117647,2008.117647
106,Arkansas,2004,60.08,15-19,20.02784314,2002.784314
107,Arkansas,2005,58.6,15-19,19.9745098,1997.45098
108,Arkansas,2006,60.8,15-19,20.46666667,2046.666667
109,Arkansas,2007,60.1,15-19,19.06666667,1906.666667
110,Arkansas,2008,59.8,15-19,19.72745098,1972.745098
111,Arkansas,2009,57.8,15-19,19.90392157,1990.392157
112,Arkansas,2010,52.7,15-19,18.34901961,1834.901961
113,Arkansas,2011,49.7,15-19,18.21764706,1821.764706
114,Arkansas,2012,45.1,15-19,15.40588235,1540.588235
115,Arkansas,2013,43.1,15-19,16.32352941,1632.352941
116,Arkansas,2014,39.3,15-19,14.72156863,1472.156863
117,Arkansas,2015,38,15-19,15.23529412,1523.529412
118,Arkansas,2016,34.7,15-19,13.90196078,1390.196078
119,Arkansas,2017,32.8,15-19,13.54901961,1354.901961
120,California,1988,58.4,15-19,6.960784314,696.0784314
121,California,1989,62,15-19,9.068137255,906.8137255
122,California,1990,65.6,15-19,11.1754902,1117.54902
123,California,1991,69.2,15-19,13.28284314,1328.284314
124,California,1992,72.8,15-19,15.39019608,1539.019608
125,California,1993,69.85,15-19,14.08676471,1408.676471
126,California,1994,66.9,15-19,12.78333333,1278.333333
127,California,1995,63.95,15-19,11.47990196,1147.990196
128,California,1996,61,15-19,10.17647059,1017.647059
129,California,1997,57.475,15-19,7.917647059,791.7647059
130,California,1998,53.95,15-19,5.658823529,565.8823529
131,California,1999,50.425,15-19,3.4,340
132,California,2000,46.9,15-19,1.141176471,114.1176471
133,California,2001,45.26,15-19,0.927843137,92.78431373
134,California,2002,43.62,15-19,0.714509804,71.45098039
135,California,2003,41.98,15-19,0.501176471,50.11764706
136,California,2004,40.34,15-19,0.287843137,28.78431373
137,California,2005,38.7,15-19,0.074509804,7.450980392
138,California,2006,39.9,15-19,-0.433333333,-43.33333333
139,California,2007,39.6,15-19,-1.433333333,-143.3333333
140,California,2008,37.9,15-19,-2.17254902,-217.254902
141,California,2009,34.9,15-19,-2.996078431,-299.6078431
142,California,2010,31.7,15-19,-2.650980392,-265.0980392
143,California,2011,28.7,15-19,-2.782352941,-278.2352941
144,California,2012,26.6,15-19,-3.094117647,-309.4117647
145,California,2013,23.5,15-19,-3.276470588,-327.6470588
146,California,2014,21.1,15-19,-3.478431373,-347.8431373
147,California,2015,19,15-19,-3.764705882,-376.4705882
148,California,2016,17,15-19,-3.798039216,-379.8039216
149,California,2017,15.1,15-19,-4.150980392,-415.0980392
150,Colorado,1988,48.7,15-19,-2.739215686,-273.9215686
151,Colorado,1989,51.125,15-19,-1.806862745,-180.6862745
152,Colorado,1990,53.55,15-19,-0.874509804,-87.45098039
153,Colorado,1991,55.975,15-19,0.057843137,5.784313725
154,Colorado,1992,58.4,15-19,0.990196078,99.01960784
155,Colorado,1993,56.475,15-19,0.711764706,71.17647059
156,Colorado,1994,54.55,15-19,0.433333333,43.33333333
157,Colorado,1995,52.625,15-19,0.154901961,15.49019608
158,Colorado,1996,50.7,15-19,-0.123529412,-12.35294118
159,Colorado,1997,50.75,15-19,1.192647059,119.2647059
160,Colorado,1998,50.8,15-19,2.508823529,250.8823529
161,Colorado,1999,50.85,15-19,3.825,382.5
162,Colorado,2000,50.9,15-19,5.141176471,514.1176471
163,Colorado,2001,49.08,15-19,4.747843137,474.7843137
164,Colorado,2002,47.26,15-19,4.354509804,435.4509804
165,Colorado,2003,45.44,15-19,3.961176471,396.1176471
166,Colorado,2004,43.62,15-19,3.567843137,356.7843137
167,Colorado,2005,41.8,15-19,3.174509804,317.4509804
168,Colorado,2006,41.9,15-19,1.566666667,156.6666667
169,Colorado,2007,41.6,15-19,0.566666667,56.66666667
170,Colorado,2008,40.5,15-19,0.42745098,42.74509804
171,Colorado,2009,37.7,15-19,-0.196078431,-19.60784314
172,Colorado,2010,33.4,15-19,-0.950980392,-95.09803922
173,Colorado,2011,28.9,15-19,-2.582352941,-258.2352941
174,Colorado,2012,25.4,15-19,-4.294117647,-429.4117647
175,Colorado,2013,23.4,15-19,-3.376470588,-337.6470588
176,Colorado,2014,20.4,15-19,-4.178431373,-417.8431373
177,Colorado,2015,19.5,15-19,-3.264705882,-326.4705882
178,Colorado,2016,17.9,15-19,-2.898039216,-289.8039216
179,Colorado,2017,16.1,15-19,-3.150980392,-315.0980392
180,Connecticut,1988,35,15-19,-16.43921569,-1643.921569
181,Connecticut,1989,36,15-19,-16.93186275,-1693.186275
182,Connecticut,1990,37,15-19,-17.4245098,-1742.45098
183,Connecticut,1991,38,15-19,-17.91715686,-1791.715686
184,Connecticut,1992,39,15-19,-18.40980392,-1840.980392
185,Connecticut,1993,38.4,15-19,-17.36323529,-1736.323529
186,Connecticut,1994,37.8,15-19,-16.31666667,-1631.666667
187,Connecticut,1995,37.2,15-19,-15.27009804,-1527.009804
188,Connecticut,1996,36.6,15-19,-14.22352941,-1422.352941
189,Connecticut,1997,35.225,15-19,-14.33235294,-1433.235294
190,Connecticut,1998,33.85,15-19,-14.44117647,-1444.117647
191,Connecticut,1999,32.475,15-19,-14.55,-1455
192,Connecticut,2000,31.1,15-19,-14.65882353,-1465.882353
193,Connecticut,2001,29.54,15-19,-14.79215686,-1479.215686
194,Connecticut,2002,27.98,15-19,-14.9254902,-1492.54902
195,Connecticut,2003,26.42,15-19,-15.05882353,-1505.882353
196,Connecticut,2004,24.86,15-19,-15.19215686,-1519.215686
197,Connecticut,2005,23.3,15-19,-15.3254902,-1532.54902
198,Connecticut,2006,23.5,15-19,-16.83333333,-1683.333333
199,Connecticut,2007,23,15-19,-18.03333333,-1803.333333
200,Connecticut,2008,22.6,15-19,-17.47254902,-1747.254902
201,Connecticut,2009,21.2,15-19,-16.69607843,-1669.607843
202,Connecticut,2010,18.4,15-19,-15.95098039,-1595.098039
203,Connecticut,2011,16.1,15-19,-15.38235294,-1538.235294
204,Connecticut,2012,15,15-19,-14.69411765,-1469.411765
205,Connecticut,2013,12.9,15-19,-13.87647059,-1387.647059
206,Connecticut,2014,11.5,15-19,-13.07843137,-1307.843137
207,Connecticut,2015,10.2,15-19,-12.56470588,-1256.470588
208,Connecticut,2016,9.4,15-19,-11.39803922,-1139.803922
209,Connecticut,2017,8.8,15-19,-10.45098039,-1045.098039
210,Delaware,1988,53.1,15-19,1.660784314,166.0784314
211,Delaware,1989,54.5,15-19,1.568137255,156.8137255
212,Delaware,1990,55.9,15-19,1.475490196,147.5490196
213,Delaware,1991,57.3,15-19,1.382843137,138.2843137
214,Delaware,1992,58.7,15-19,1.290196078,129.0196078
215,Delaware,1993,57.475,15-19,1.711764706,171.1764706
216,Delaware,1994,56.25,15-19,2.133333333,213.3333333
217,Delaware,1995,55.025,15-19,2.554901961,255.4901961
218,Delaware,1996,53.8,15-19,2.976470588,297.6470588
219,Delaware,1997,52.325,15-19,2.767647059,276.7647059
220,Delaware,1998,50.85,15-19,2.558823529,255.8823529
221,Delaware,1999,49.375,15-19,2.35,235
222,Delaware,2000,47.9,15-19,2.141176471,214.1176471
223,Delaware,2001,46.34,15-19,2.007843137,200.7843137
224,Delaware,2002,44.78,15-19,1.874509804,187.4509804
225,Delaware,2003,43.22,15-19,1.741176471,174.1176471
226,Delaware,2004,41.66,15-19,1.607843137,160.7843137
227,Delaware,2005,40.1,15-19,1.474509804,147.4509804
228,Delaware,2006,40.6,15-19,0.266666667,26.66666667
229,Delaware,2007,39.2,15-19,-1.833333333,-183.3333333
230,Delaware,2008,38.3,15-19,-1.77254902,-177.254902
231,Delaware,2009,33.5,15-19,-4.396078431,-439.6078431
232,Delaware,2010,30.7,15-19,-3.650980392,-365.0980392
233,Delaware,2011,29.1,15-19,-2.382352941,-238.2352941
234,Delaware,2012,25.1,15-19,-4.594117647,-459.4117647
235,Delaware,2013,24.4,15-19,-2.376470588,-237.6470588
236,Delaware,2014,20.9,15-19,-3.678431373,-367.8431373
237,Delaware,2015,18.2,15-19,-4.564705882,-456.4705882
238,Delaware,2016,19.7,15-19,-1.098039216,-109.8039216
239,Delaware,2017,18.5,15-19,-0.750980392,-75.09803922
240,District of Columbia,1988,75.6,15-19,24.16078431,2416.078431
241,District of Columbia,1989,83.375,15-19,30.44313725,3044.313725
242,District of Columbia,1990,91.15,15-19,36.7254902,3672.54902
243,District of Columbia,1991,98.925,15-19,43.00784314,4300.784314
244,District of Columbia,1992,106.7,15-19,49.29019608,4929.019608
245,District of Columbia,1993,99.825,15-19,44.06176471,4406.176471
246,District of Columbia,1994,92.95,15-19,38.83333333,3883.333333
247,District of Columbia,1995,86.075,15-19,33.60490196,3360.490196
248,District of Columbia,1996,79.2,15-19,28.37647059,2837.647059
249,District of Columbia,1997,72.725,15-19,23.16764706,2316.764706
250,District of Columbia,1998,66.25,15-19,17.95882353,1795.882353
251,District of Columbia,1999,59.775,15-19,12.75,1275
252,District of Columbia,2000,53.3,15-19,7.541176471,754.1176471
253,District of Columbia,2001,51.06,15-19,6.727843137,672.7843137
254,District of Columbia,2002,48.82,15-19,5.914509804,591.4509804
255,District of Columbia,2003,46.58,15-19,5.101176471,510.1176471
256,District of Columbia,2004,44.34,15-19,4.287843137,428.7843137
257,District of Columbia,2005,42.1,15-19,3.474509804,347.4509804
258,District of Columbia,2006,48.1,15-19,7.766666667,776.6666667
259,District of Columbia,2007,50.4,15-19,9.366666667,936.6666667
260,District of Columbia,2008,51.1,15-19,11.02745098,1102.745098
261,District of Columbia,2009,48.5,15-19,10.60392157,1060.392157
262,District of Columbia,2010,45.5,15-19,11.14901961,1114.901961
263,District of Columbia,2011,42.8,15-19,11.31764706,1131.764706
264,District of Columbia,2012,38.9,15-19,9.205882353,920.5882353
265,District of Columbia,2013,32,15-19,5.223529412,522.3529412
266,District of Columbia,2014,29,15-19,4.421568627,442.1568627
267,District of Columbia,2015,25.8,15-19,3.035294118,303.5294118
268,District of Columbia,2016,24.1,15-19,3.301960784,330.1960784
269,District of Columbia,2017,21.2,15-19,1.949019608,194.9019608
270,Florida,1988,62.4,15-19,10.96078431,1096.078431
271,Florida,1989,63.1,15-19,10.16813725,1016.813725
272,Florida,1990,63.8,15-19,9.375490196,937.5490196
273,Florida,1991,64.5,15-19,8.582843137,858.2843137
274,Florida,1992,65.2,15-19,7.790196078,779.0196078
275,Florida,1993,63.2,15-19,7.436764706,743.6764706
276,Florida,1994,61.2,15-19,7.083333333,708.3333333
277,Florida,1995,59.2,15-19,6.729901961,672.9901961
278,Florida,1996,57.2,15-19,6.376470588,637.6470588
279,Florida,1997,55.6,15-19,6.042647059,604.2647059
280,Florida,1998,54,15-19,5.708823529,570.8823529
281,Florida,1999,52.4,15-19,5.375,537.5
282,Florida,2000,50.8,15-19,5.041176471,504.1176471
283,Florida,2001,49.1,15-19,4.767843137,476.7843137
284,Florida,2002,47.4,15-19,4.494509804,449.4509804
285,Florida,2003,45.7,15-19,4.221176471,422.1176471
286,Florida,2004,44,15-19,3.947843137,394.7843137
287,Florida,2005,42.3,15-19,3.674509804,367.4509804
288,Florida,2006,43.1,15-19,2.766666667,276.6666667
289,Florida,2007,43,15-19,1.966666667,196.6666667
290,Florida,2008,40,15-19,-0.07254902,-7.254901961
291,Florida,2009,36.6,15-19,-1.296078431,-129.6078431
292,Florida,2010,32.3,15-19,-2.050980392,-205.0980392
293,Florida,2011,29.6,15-19,-1.882352941,-188.2352941
294,Florida,2012,28,15-19,-1.694117647,-169.4117647
295,Florida,2013,24.5,15-19,-2.276470588,-227.6470588
296,Florida,2014,22.5,15-19,-2.078431373,-207.8431373
297,Florida,2015,20.8,15-19,-1.964705882,-196.4705882
298,Florida,2016,19.2,15-19,-1.598039216,-159.8039216
299,Florida,2017,18.2,15-19,-1.050980392,-105.0980392
300,Georgia,1988,68.2,15-19,16.76078431,1676.078431
301,Georgia,1989,69.7,15-19,16.76813725,1676.813725
302,Georgia,1990,71.2,15-19,16.7754902,1677.54902
303,Georgia,1991,72.7,15-19,16.78284314,1678.284314
304,Georgia,1992,74.2,15-19,16.79019608,1679.019608
305,Georgia,1993,72.35,15-19,16.58676471,1658.676471
306,Georgia,1994,70.5,15-19,16.38333333,1638.333333
307,Georgia,1995,68.65,15-19,16.17990196,1617.990196
308,Georgia,1996,66.8,15-19,15.97647059,1597.647059
309,Georgia,1997,65.725,15-19,16.16764706,1616.764706
310,Georgia,1998,64.65,15-19,16.35882353,1635.882353
311,Georgia,1999,63.575,15-19,16.55,1655
312,Georgia,2000,62.5,15-19,16.74117647,1674.117647
313,Georgia,2001,60.4,15-19,16.06784314,1606.784314
314,Georgia,2002,58.3,15-19,15.3945098,1539.45098
315,Georgia,2003,56.2,15-19,14.72117647,1472.117647
316,Georgia,2004,54.1,15-19,14.04784314,1404.784314
317,Georgia,2005,52,15-19,13.3745098,1337.45098
318,Georgia,2006,53.7,15-19,13.36666667,1336.666667
319,Georgia,2007,53.4,15-19,12.36666667,1236.666667
320,Georgia,2008,50,15-19,9.92745098,992.745098
321,Georgia,2009,47,15-19,9.103921569,910.3921569
322,Georgia,2010,41.5,15-19,7.149019608,714.9019608
323,Georgia,2011,38,15-19,6.517647059,651.7647059
324,Georgia,2012,33.7,15-19,4.005882353,400.5882353
325,Georgia,2013,30.4,15-19,3.623529412,362.3529412
326,Georgia,2014,28.3,15-19,3.721568627,372.1568627
327,Georgia,2015,25.6,15-19,2.835294118,283.5294118
328,Georgia,2016,23.5,15-19,2.701960784,270.1960784
329,Georgia,2017,21.9,15-19,2.649019608,264.9019608
330,Hawaii,1988,49,15-19,-2.439215686,-243.9215686
331,Hawaii,1989,50.3,15-19,-2.631862745,-263.1862745
332,Hawaii,1990,51.6,15-19,-2.824509804,-282.4509804
333,Hawaii,1991,52.9,15-19,-3.017156863,-301.7156863
334,Hawaii,1992,54.2,15-19,-3.209803922,-320.9803922
335,Hawaii,1993,52.875,15-19,-2.888235294,-288.8235294
336,Hawaii,1994,51.55,15-19,-2.566666667,-256.6666667
337,Hawaii,1995,50.225,15-19,-2.245098039,-224.5098039
338,Hawaii,1996,48.9,15-19,-1.923529412,-192.3529412
339,Hawaii,1997,48.2,15-19,-1.357352941,-135.7352941
340,Hawaii,1998,47.5,15-19,-0.791176471,-79.11764706
341,Hawaii,1999,46.8,15-19,-0.225,-22.5
342,Hawaii,2000,46.1,15-19,0.341176471,34.11764706
343,Hawaii,2001,44.18,15-19,-0.152156863,-15.21568627
344,Hawaii,2002,42.26,15-19,-0.645490196,-64.54901961
345,Hawaii,2003,40.34,15-19,-1.138823529,-113.8823529
346,Hawaii,2004,38.42,15-19,-1.632156863,-163.2156863
347,Hawaii,2005,36.5,15-19,-2.125490196,-212.5490196
348,Hawaii,2006,39,15-19,-1.333333333,-133.3333333
349,Hawaii,2007,38.7,15-19,-2.333333333,-233.3333333
350,Hawaii,2008,38.9,15-19,-1.17254902,-117.254902
351,Hawaii,2009,37,15-19,-0.896078431,-89.60784314
352,Hawaii,2010,32.6,15-19,-1.750980392,-175.0980392
353,Hawaii,2011,29.8,15-19,-1.682352941,-168.2352941
354,Hawaii,2012,28.1,15-19,-1.594117647,-159.4117647
355,Hawaii,2013,25.1,15-19,-1.676470588,-167.6470588
356,Hawaii,2014,23.5,15-19,-1.078431373,-107.8431373
357,Hawaii,2015,20.9,15-19,-1.864705882,-186.4705882
358,Hawaii,2016,19.3,15-19,-1.498039216,-149.8039216
359,Hawaii,2017,19,15-19,-0.250980392,-25.09803922
360,Idaho,1988,46.5,15-19,-4.939215686,-493.9215686
361,Idaho,1989,47.75,15-19,-5.181862745,-518.1862745
362,Idaho,1990,49,15-19,-5.424509804,-542.4509804
363,Idaho,1991,50.25,15-19,-5.667156863,-566.7156863
364,Idaho,1992,51.5,15-19,-5.909803922,-590.9803922
365,Idaho,1993,50.35,15-19,-5.413235294,-541.3235294
366,Idaho,1994,49.2,15-19,-4.916666667,-491.6666667
367,Idaho,1995,48.05,15-19,-4.420098039,-442.0098039
368,Idaho,1996,46.9,15-19,-3.923529412,-392.3529412
369,Idaho,1997,45.85,15-19,-3.707352941,-370.7352941
370,Idaho,1998,44.8,15-19,-3.491176471,-349.1176471
371,Idaho,1999,43.75,15-19,-3.275,-327.5
372,Idaho,2000,42.7,15-19,-3.058823529,-305.8823529
373,Idaho,2001,41.44,15-19,-2.892156863,-289.2156863
374,Idaho,2002,40.18,15-19,-2.725490196,-272.5490196
375,Idaho,2003,38.92,15-19,-2.558823529,-255.8823529
376,Idaho,2004,37.66,15-19,-2.392156863,-239.2156863
377,Idaho,2005,36.4,15-19,-2.225490196,-222.5490196
378,Idaho,2006,38.1,15-19,-2.233333333,-223.3333333
379,Idaho,2007,39.9,15-19,-1.133333333,-113.3333333
380,Idaho,2008,39.6,15-19,-0.47254902,-47.25490196
381,Idaho,2009,35.9,15-19,-1.996078431,-199.6078431
382,Idaho,2010,33.1,15-19,-1.250980392,-125.0980392
383,Idaho,2011,28.4,15-19,-3.082352941,-308.2352941
384,Idaho,2012,28.3,15-19,-1.394117647,-139.4117647
385,Idaho,2013,25.7,15-19,-1.076470588,-107.6470588
386,Idaho,2014,23.2,15-19,-1.378431373,-137.8431373
387,Idaho,2015,22.5,15-19,-0.264705882,-26.47058824
388,Idaho,2016,19.9,15-19,-0.898039216,-89.80392157
